"","No_of_reads","Percentage_of_reads (%)"
"__no_feature",870878,0.2
"__ambiguous",1793676,0.4
"__too_low_aQual",0,0
"__not_aligned",20528862,4.6
"__alignment_not_unique",42387038,9.5
"__features",380204467,85.3
"__total_(all_sequenced_reads)",445784921,100
