,HTG (%),HTSeq (%)
total_no_of_sequenced_reads,445784921,445784921
total_no_of_mapped_reads,426378274 (95.65),382869021 (85.89)
total_no_of_reads_assigned_features,426378274 (95.65),380204467 (85.29)
