,HTG,HTSeq
1,Cd244,C920009B18Rik
2,H2-Pa,Ccnb1-ps
3,H60a,Cd244a
4,Ifit3_Ifit3b,Defa38
5,Ifnl2_Ifnl3,Gm10591
6,Il22_Iltifb,Ifna6
7,Itgax,Ifnl2
8,Klrc2_Klrc3,Iigp1c
9,Lilr4b_Lilrb4a,Il22b
10,Lyz1_Lyz2,Lyz1
11,Oas1a_Oas1g,Lyz2
12,Tmem173,Oas1a
13,,Oas1g
14,,Sting1
