Feature.ID	ST3_Total_Exon_Reads_fwd_RNA.Seq	SB3_Total_Exon_Reads_fwd_RNA.Seq	SC3_Total_Exon_Reads_fwd_RNA.Seq	SL3_Total_Exon_Reads_fwd_RNA.Seq	SC4_Total_Exon_Reads_fwd_RNA.Seq	SL4_Total_Exon_Reads_fwd_RNA.Seq	ST4_Total_Exon_Reads_fwd_RNA.Seq	SB4_Total_Exon_Reads_fwd_RNA.Seq	SC2_Total_Exon_Reads_fwd_RNA.Seq	SL2_Total_Exon_Reads_fwd_RNA.Seq	SB2_Total_Exon_Reads_fwd_RNA.Seq	ST2_Total_Exon_Reads_fwd_RNA.Seq	SC1_Total_Exon_Reads_fwd_RNA.Seq	SL1_Total_Exon_Reads_fwd_RNA.Seq	SB1_Total_Exon_Reads_fwd_RNA.Seq	ST1_Total_Exon_Reads_fwd_RNA.Seq
FAM71A	2	4	1	1	0	1	0	9	4	0	1	0	0	8	2	0
FAM71B	3	1	0	0	0	0	2	0	0	0	0	0	0	7	0	0
FAM71C	5	0	0	0	0	0	3	0	0	0	0	1	0	6	0	0
FAM71D	7	0	1	7	0	0	4	0	0	0	0	2	3	12	0	2
FAM71E1	1	0	5	0	1	0	0	2	18	0	4	1	0	3	0	0
FAM71E2	1	0	0	0	0	0	11	0	0	0	0	2	0	5	48	3
FAM71F1	2	1	1	3	0	0	10	0	30	0	0	0	1	4	0	0
FAM71F2	2	10	8	0	2	3	23	2	16	0	7	10	4	4	23	1
FAM72A	40	19	26	7	6	60	85	0	40	0	90	49	17	11	232	45
FAM72B	22	12	10	2	19	15	116	4	29	0	91	33	34	16	116	35
FAM72D	13	13	15	3	5	4	96	0	14	0	168	36	19	21	195	14
FAM73A	90	215	147	143	157	216	249	0	198	9	264	501	238	87	667	272
FAM73B	16	75	54	30	27	21	79	2	90	0	100	76	74	9	160	73
FAM76A	33	119	90	58	194	3	95	23	194	11	206	188	81	28	284	82
FAM76B	92	167	143	43	124	35	459	23	81	0	179	510	129	43	917	308
FAM78A	65	38	18	23	19	65	273	2	116	4	65	359	32	8	197	175
FAM78B	4	6	5	1	2	0	1	0	10	0	7	2	3	3	3	0
FAM81A	15	5	13	1	17	0	62	1	19	0	7	23	93	8	51	12
FAM81B	16	0	4	4	3	0	10	2	0	0	0	1	1	11	0	0
FAM82A1	38	33	62	68	51	22	67	6	107	0	60	79	65	58	60	43
FAM82A2	29	99	63	187	118	229	80	0	149	14	132	120	181	37	244	64
FAM82B	81	172	92	151	534	104	280	1	323	16	298	342	226	74	763	230
FAM83A	7	385	4	2	2	4	8	1	1	0	0	39	11	1	813	48
FAM83B	40	986	215	3	543	1	77	1	131	0	254	123	237	18	621	107
FAM83C	5	148	4	2	4	1	5	0	6	0	25	11	1	3	7	13
FAM83D	17	81	83	10	18	2	31	2	87	1	243	105	32	14	409	77
FAM83E	1	5	45	0	69	1	14	7	33	0	0	4	36	4	28	8
FAM83F	2	52	41	7	46	0	4	12	3	0	33	17	18	4	0	14
FAM83G	6	212	69	101	59	34	28	40	77	4	35	35	44	2	298	22
FAM83H	13	364	294	137	289	126	59	15	346	3	316	85	266	17	1734	89
FAM84A	15	343	1441	3	763	27	28	28	724	22	407	44	242	25	29	36
FAM84B	69	282	244	159	728	68	86	31	301	4	309	325	881	108	2225	200
FAM86A	7	19	12	23	25	9	16	1	15	0	29	42	23	5	121	17
FAM86B1	7	10	6	8	51	39	15	0	11	1	4	7	1	5	4	5
FAM86B2	2	1	7	1	13	1	5	0	0	0	4	4	2	2	0	0
FAM86C1	7	23	12	14	15	12	25	3	57	0	34	32	17	9	198	8
FAM89A	8	62	57	45	28	0	16	17	47	0	17	26	61	14	96	20
FAM89B	8	16	9	14	12	0	12	0	41	2	23	12	8	6	121	16
FAM8A1	86	312	333	405	422	560	134	153	622	42	186	325	563	195	409	216
FAM90A1	4	1	1	0	0	1	2	0	0	0	2	1	0	3	19	0
FAM91A1	141	612	606	321	652	344	427	14	965	36	452	907	1055	141	1622	620
FAM92A1	9	40	31	42	14	4	11	1	135	0	25	30	77	19	108	13
FAM92B	1	0	0	2	3	1	6	0	98	0	1	6	0	4	6	2
FAM96A	40	79	103	248	247	113	114	24	276	36	226	217	267	84	340	162
FAM96B	4	42	37	33	10	46	16	58	175	0	23	31	23	6	156	16
FAM98A	46	201	141	152	236	167	152	92	565	10	400	236	144	29	640	141
FAM98B	38	67	38	19	103	120	75	6	184	0	112	153	82	13	191	97
FAM98C	10	24	11	6	14	20	28	1	63	16	24	21	10	2	20	8
FAM9A	7	0	0	1	0	0	6	0	0	0	0	1	2	13	0	1
FAM9B	5	0	3	1	0	0	0	0	0	0	24	1	1	5	0	0
FAM9C	19	1	1	1	0	0	12	2	0	0	0	0	0	12	0	1
FAN1	65	152	62	108	100	115	246	6	86	3	315	369	214	60	461	231
FANCA	59	89	116	39	87	34	338	61	121	3	309	217	96	24	528	114
FANCB	29	22	27	3	0	5	65	0	63	0	121	72	26	6	66	41
FANCC	27	66	48	75	25	78	98	11	85	0	134	82	76	72	361	66
FANCD2	135	91	128	27	83	12	394	30	198	1	543	518	89	92	787	304
FANCE	10	24	21	4	81	1	29	4	39	0	35	37	9	9	151	19
FANCF	44	40	53	29	172	17	112	1	196	2	116	225	91	16	336	111
FANCG	23	36	43	11	22	4	38	0	31	0	71	60	27	10	220	33
FANCI	96	162	153	32	292	8	321	29	145	1	913	340	264	48	1002	226
FANCL	35	93	62	80	79	50	86	2	171	10	236	188	164	33	311	108
FANCM	59	108	43	28	115	1	152	24	24	0	132	313	70	41	424	182
FANK1	14	28	31	7	38	0	6	0	44	1	19	13	29	17	60	16
FAP	30	325	149	14	171	29	13	12	1357	9	107	27	143	37	1093	17
FAR1	138	769	763	41	855	111	437	171	461	1	818	1077	373	42	1608	749
FAR2	36	29	97	8	154	22	11	2	209	0	129	48	96	28	150	22
FARP1	36	385	634	443	606	359	58	87	668	49	602	105	581	129	2370	63
FARP2	45	166	110	145	257	115	134	26	279	15	232	224	264	59	166	153
FARS2	28	61	31	51	79	40	92	53	76	4	108	140	36	22	667	96
FARSA	12	34	38	56	67	42	32	17	244	29	96	67	54	9	295	26
FARSB	49	185	159	111	153	51	111	5	330	12	442	300	166	39	430	156
FAS	97	310	74	189	64	91	276	7	167	9	98	657	107	41	453	377
FASLG	12	12	4	4	0	0	27	0	0	8	67	46	12	11	45	37
FASN	31	308	137	478	127	436	81	55	646	65	1013	137	261	197	748	95
FASTK	7	37	25	17	62	3	44	5	53	2	39	30	27	8	118	27
FASTKD1	50	97	80	22	90	2	64	158	106	0	195	192	152	28	265	152
FASTKD2	82	280	198	216	209	155	183	2	321	2	529	459	349	68	663	296
FASTKD3	21	32	20	21	24	17	62	0	76	4	35	73	45	17	142	50
FASTKD5	0	2	2	0	1	2	0	0	1	0	0	0	2	0	0	0
FAT1	220	3324	2233	1358	5359	1163	341	224	4222	188	2985	755	6586	225	2002	709
FAT2	96	1942	9	5	38	1	357	10	14	0	487	711	10	56	5	660
FAT3	79	56	13	24	42	69	100	3	141	17	12	37	63	95	25	27
FAT4	147	1046	100	260	271	280	178	95	978	19	147	515	239	186	194	325
FATE1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAU	98	342	178	393	291	330	322	53	1965	35	272	607	169	78	899	408
FAXC	34	30	22	5	30	0	17	8	15	0	19	6	4	41	95	6
FBF1	16	44	11	4	42	1	41	37	35	0	47	44	13	8	113	33
FBL	34	154	118	89	279	199	107	4	876	3	211	226	76	23	210	137
FBLIM1	18	233	256	19	304	83	37	21	427	10	88	28	137	30	839	24
FBLN1	53	1816	63	14	56	223	29	209	3208	10	351	152	126	44	488	98
FBLN2	27	577	78	12	48	111	23	80	977	3	74	78	84	13	645	77
FBLN5	24	266	47	43	107	448	64	30	782	0	55	100	85	32	84	66
FBLN7	9	45	9	12	0	52	35	0	36	0	4	51	2	7	104	33
FBN1	219	3678	1297	185	595	701	175	302	11960	31	539	626	1256	106	5468	575
FBN2	55	207	13	14	16	4	37	18	120	1	190	122	15	68	28	89
FBN3	6	0	0	2	0	2	4	23	0	0	0	3	5	8	0	0
FBP1	10	5	91	873	58	422	6	79	101	34	119	19	188	204	346	12
FBP2	5	0	3	0	0	0	2	1	1	0	5	4	0	5	4	4
FBRS	41	204	160	71	346	212	375	79	283	9	225	170	95	20	631	127
FBRSL1	23	139	150	65	102	78	152	89	142	15	99	105	87	11	225	72
FBXL12	6	38	11	34	26	13	39	24	74	29	44	43	23	11	159	26
FBXL13	16	6	20	3	59	0	20	49	3	0	12	23	12	20	312	11
FBXL14	8	14	24	16	21	1	22	23	36	0	24	28	41	5	60	12
FBXL15	1	6	7	9	10	14	6	0	13	0	15	5	4	1	7	3
FBXL16	14	10	2	5	5	2	31	0	2	0	8	30	9	1	17	19
FBXL17	83	204	136	114	155	68	132	92	103	16	180	398	203	43	274	214
FBXL18	21	78	36	20	106	22	107	43	151	3	176	77	76	13	277	29
FBXL19	12	54	54	15	74	16	69	11	114	1	85	30	32	2	230	16
FBXL2	17	48	44	2	32	2	18	0	48	0	35	33	9	17	186	11
FBXL20	172	441	493	149	696	113	532	143	969	31	578	766	405	138	936	521
FBXL21	10	0	0	2	1	0	2	0	31	0	0	0	0	14	0	0
FBXL22	2	2	1	0	0	0	3	0	1	0	9	3	3	0	3	0
FBXL3	138	466	438	187	372	85	359	58	736	18	295	883	506	103	1535	618
FBXL4	36	96	148	87	231	32	113	0	311	19	100	285	137	44	252	173
FBXL5	147	671	486	429	225	249	335	236	648	59	492	947	534	149	1660	561
FBXL6	6	16	14	19	11	3	11	6	20	0	29	14	47	2	105	7
FBXL7	15	120	39	22	100	34	31	2	207	1	25	34	32	16	76	22
FBXL8	0	5	2	1	6	2	4	0	0	0	10	3	4	0	31	3
FBXO10	12	51	36	30	56	60	80	2	25	1	35	89	42	8	160	69
FBXO11	270	974	548	294	998	177	814	44	834	27	810	1477	595	130	1819	858
FBXO15	7	1	2	8	0	1	12	0	0	0	9	5	1	11	0	6
FBXO16	15	1	6	7	15	0	3	0	22	0	44	16	5	13	17	5
FBXO17	12	43	18	154	49	117	1	0	33	0	10	17	33	45	10	6
FBXO18	100	370	437	208	194	189	373	224	357	13	426	689	338	97	981	368
FBXO2	2	10	3	18	72	0	7	0	38	14	4	2	1	1	21	6
FBXO21	53	193	297	207	230	169	87	119	302	4	285	335	404	92	433	203
FBXO22	58	127	65	77	103	44	138	1	134	0	279	328	276	56	378	178
FBXO24	6	4	0	4	1	0	7	0	2	0	5	2	1	5	18	2
FBXO25	27	118	168	149	99	20	64	13	176	41	111	184	81	53	186	130
FBXO27	2	24	19	11	5	3	8	0	32	0	117	9	3	4	0	5
FBXO28	95	369	331	295	311	145	209	2	276	14	295	478	513	119	1037	380
FBXO3	53	275	234	165	327	191	163	46	225	27	238	371	148	71	497	209
FBXO30	73	224	175	75	158	92	149	2	422	11	177	348	132	43	303	239
FBXO31	32	143	184	220	161	145	94	2	332	29	121	113	175	62	315	75
FBXO32	74	309	317	21	680	114	154	137	776	2	125	382	327	34	1842	383
FBXO33	54	207	78	53	26	38	114	1	86	0	143	331	140	35	521	201
FBXO34	71	326	200	116	471	54	167	24	356	12	170	344	240	33	774	212
FBXO36	9	16	23	13	1	0	4	0	39	1	12	26	13	10	68	16
FBXO38	101	259	136	140	332	90	221	6	219	2	253	562	355	71	442	337
FBXO39	8	4	0	3	0	0	4	0	0	0	4	2	3	6	8	0
FBXO4	22	37	20	25	18	34	45	1	66	1	46	120	34	25	206	77
FBXO40	18	1	1	6	22	0	7	0	1	0	1	15	2	22	0	17
FBXO41	36	39	58	2	204	13	287	28	95	1	191	176	64	14	208	82
FBXO42	25	131	99	74	151	48	96	2	132	10	82	132	57	21	196	80
FBXO43	13	4	6	0	0	1	8	0	0	0	16	18	3	14	9	13
FBXO44	11	34	20	20	41	7	41	7	59	3	26	56	3	15	51	31
FBXO45	72	326	157	70	239	58	169	3	226	0	786	261	210	38	1041	267
FBXO46	16	67	80	17	66	16	93	8	142	1	60	76	49	10	75	45
FBXO47	19	0	1	2	0	0	0	0	0	0	1	0	1	14	0	0
FBXO48	19	10	22	15	16	14	27	0	22	0	31	49	13	17	66	28
FBXO5	19	36	53	17	41	18	69	1	100	0	158	123	41	11	205	69
FBXO6	3	10	0	17	16	1	10	0	44	0	27	13	2	4	75	10
FBXO7	71	242	214	437	289	107	175	60	563	41	284	440	272	164	850	236
FBXO8	42	101	49	60	146	12	47	7	110	9	89	157	100	34	178	89
FBXO9	75	205	151	211	218	148	276	175	267	6	199	457	202	101	372	273
FBXW10	15	4	0	0	1	0	10	20	2	0	3	3	4	25	9	3
FBXW11	95	424	272	319	330	81	190	31	515	27	386	546	412	127	591	385
FBXW12	6	0	0	2	0	1	0	0	0	0	2	0	0	11	5	0
FBXW2	194	678	447	446	725	483	767	166	966	66	875	1105	913	237	1841	711
FBXW4	38	94	90	67	244	130	148	17	100	16	93	158	74	30	252	90
FBXW5	20	85	108	140	27	64	112	32	218	3	77	134	90	31	729	104
FBXW7	179	602	170	242	682	353	623	61	1302	15	449	1101	317	108	554	681
FBXW8	48	184	102	56	222	116	240	30	229	3	119	195	75	39	251	120
FBXW9	0	6	4	3	14	0	7	0	3	0	15	10	4	2	79	4
FCAMR	26	0	2	148	4	48	76	0	0	0	0	57	3	12	0	52
FCAR	5	15	17	22	18	44	4	0	1	0	5	2	5	8	47	2
FCER1A	5	10	5	1	0	2	2	0	60	1	0	21	6	11	1	8
FCER1G	16	37	41	44	68	145	46	2	177	2	125	55	72	10	293	27
FCER2	30	2	1	2	0	20	221	1	4	0	0	128	0	1	0	43
FCF1	52	178	116	95	234	191	193	26	548	42	167	196	163	46	645	112
FCGBP	13	105	101	37	5	19	70	95	277	1	12	95	412	13	24	118
FCGR1A	21	3	7	14	25	30	9	0	88	6	84	4	39	19	166	1
FCGR1B	11	7	1	14	0	3	20	8	53	5	26	16	10	18	27	2
FCGR2A	42	132	110	53	154	311	64	117	607	19	433	141	201	30	2020	107
FCGR2B	46	29	7	31	14	46	71	2	118	5	32	214	56	26	303	149
FCGR3A	19	64	122	135	667	753	39	18	431	18	555	38	317	63	1476	12
FCGR3B	11	12	11	18	40	16	6	18	9	0	28	13	18	23	67	17
FCGRT	21	104	310	316	144	243	46	15	253	32	83	106	275	131	169	46
FCHO1	25	12	34	15	2	35	116	0	69	0	51	140	20	7	37	65
FCHO2	84	686	405	131	365	174	172	60	546	17	521	519	675	77	1137	382
FCHSD1	47	115	55	9	117	17	238	1	142	1	88	200	66	15	189	131
FCHSD2	300	324	164	192	369	342	1071	143	635	0	340	1751	243	95	2217	928
FCN1	11	9	16	17	11	69	41	63	19	0	16	14	9	12	39	5
FCN2	1	0	2	62	1	82	1	0	15	19	0	0	45	47	0	0
FCN3	2	0	10	97	17	105	3	2	12	56	0	0	40	22	0	0
FCRL1	187	11	1	5	0	0	963	1	2	0	5	1043	5	19	0	582
FCRL2	76	7	0	3	0	1	390	16	5	0	9	504	6	19	11	303
FCRL3	92	8	5	9	11	28	809	0	17	0	33	689	4	16	9	322
FCRL4	44	1	2	7	12	2	232	0	53	0	1	248	1	26	1	187
FCRL5	150	36	2	7	4	47	1419	3	187	1	57	862	3	33	51	561
FCRL6	2	3	0	4	1	0	8	9	2	0	16	5	4	5	0	4
FCRLA	37	3	2	1	0	0	305	0	69	0	5	337	3	9	5	170
FCRLB	4	4	3	0	0	0	14	0	0	1	19	5	6	3	9	5
FDCSP	135	1	1	1	1	1	1494	3	603	1	3	501	55	4	0	402
FDFT1	63	268	358	153	185	144	180	80	564	44	811	322	197	61	595	198
FDPS	40	176	242	223	257	148	103	29	414	67	449	180	202	88	988	107
FDX1	47	127	196	303	150	194	108	4	259	43	147	223	233	96	200	162
FDX1L	1	3	8	8	8	1	7	3	47	0	18	6	6	2	71	10
FDXACB1	15	12	18	21	5	0	34	6	2	10	22	44	20	22	21	29
FDXR	6	23	9	26	45	2	15	0	29	1	39	15	15	4	56	8
FECH	42	109	78	220	90	61	69	2	170	11	131	179	118	84	716	137
FEM1A	38	122	90	148	122	70	102	118	177	19	228	192	95	43	420	107
FEM1B	51	404	114	145	102	23	124	3	83	9	218	324	218	58	663	246
FEM1C	84	924	303	242	307	116	160	132	438	4	266	508	459	86	647	304
FEN1	13	41	45	19	144	45	130	2	204	23	208	89	47	9	608	55
FER	57	272	84	41	126	97	108	1	212	0	156	292	122	45	376	156
FER1L5	18	5	4	4	0	0	7	0	36	0	0	5	2	24	1	1
FER1L6	27	32	41	3	1	0	15	0	5	0	3	3	5	50	1	1
FERD3L	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
FERMT1	36	317	1293	7	1616	13	53	7	1490	2	321	95	1151	26	2283	142
FERMT2	33	511	192	507	86	341	46	37	916	28	49	150	226	170	890	65
FERMT3	41	28	23	35	24	138	202	7	100	0	54	224	38	9	211	116
FES	3	40	11	36	2	104	23	81	33	1	29	46	28	17	163	13
FETUB	12	3	3	552	5	62	5	0	0	20	1	10	74	145	0	11
FEV	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FEZ1	14	47	16	13	16	22	23	0	205	0	26	25	11	16	13	14
FEZ2	56	286	240	149	138	60	153	31	327	20	431	326	338	36	1177	231
FEZF1	9	0	6	1	0	0	7	0	2	0	4	0	2	6	0	0
FEZF2	0	0	2	1	5	34	4	5	12	1	0	2	0	2	2	0
FFAR1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FFAR2	2	6	2	6	1	0	9	8	3	1	2	3	3	2	24	1
FFAR3	0	2	0	0	0	7	1	0	0	0	0	0	1	1	0	0
FGA	352	38	3223	102106	2155	51193	324	3949	828	9469	11	63	18798	24377	59	182
FGB	217	32	2565	59897	1489	32888	193	1539	375	4800	6	35	14491	15854	36	111
FGD1	6	68	18	7	11	36	6	19	54	1	11	14	6	2	485	10
FGD2	72	45	7	21	30	99	516	114	53	0	69	429	29	16	190	276
FGD3	75	57	11	11	25	114	310	44	46	5	108	341	19	11	440	192
FGD4	108	463	566	291	554	364	158	23	411	10	415	457	785	215	823	329
FGD5	27	166	31	55	81	182	65	102	516	6	55	138	81	20	183	72
FGD6	199	746	323	179	422	213	1178	77	656	7	225	783	574	79	2262	623
FGF1	23	40	17	6	7	5	23	31	70	0	3	21	10	18	49	27
FGF10	4	14	0	0	0	0	3	0	0	0	3	6	0	4	0	2
FGF11	8	28	9	1	37	1	50	0	5	0	17	28	5	3	44	25
FGF12	16	1	10	0	32	0	14	3	3	0	31	14	5	8	176	9
FGF13	11	17	31	6	10	11	19	2	8	0	8	22	13	12	6	14
FGF14	9	9	2	2	2	1	6	0	18	0	1	3	3	17	10	0
FGF16	1	0	1	4	0	0	0	0	1	0	0	0	0	1	0	0
FGF17	0	0	0	1	7	0	0	0	0	0	0	1	0	2	0	0
FGF18	1	2	9	3	2	0	1	0	3	0	1	2	4	2	0	1
FGF19	2	0	4	9	1	0	1	0	23	0	0	0	2	5	0	0
FGF2	34	162	58	66	14	20	56	0	334	1	24	140	43	27	312	101
FGF20	3	0	1	0	0	0	0	0	1	0	2	0	0	4	0	0
FGF21	0	0	5	9	0	30	0	0	0	0	0	0	2	4	0	0
FGF23	2	1	5	18	1	45	12	0	5	0	4	0	1	15	0	0
FGF3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
FGF4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF5	20	12	1	2	0	9	13	0	10	0	0	0	0	6	20	0
FGF6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
FGF7	63	300	46	14	81	52	85	22	792	3	65	406	21	27	107	193
FGF8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
FGF9	9	27	2	4	6	0	14	0	0	0	6	5	54	16	2	3
FGFBP1	10	561	14	0	42	0	11	0	3	0	1	80	3	4	183	49
FGFBP2	1	1	1	2	0	31	5	0	4	0	1	1	2	5	0	1
FGFBP3	8	1	7	8	21	0	51	1	13	0	4	19	6	5	15	6
FGFR1	67	679	132	97	129	353	214	84	427	12	90	339	116	58	443	157
FGFR1OP	44	97	144	92	166	113	168	8	221	19	218	319	191	49	144	199
FGFR1OP2	113	280	237	132	192	116	271	8	473	18	256	720	297	62	338	442
FGFR2	47	496	253	312	211	370	97	2	30	65	305	153	198	106	86	137
FGFR3	23	457	61	179	67	124	120	183	42	3	397	138	116	55	11	139
FGFR4	1	3	58	138	126	7	6	49	129	17	11	2	138	38	2	0
FGFRL1	20	98	314	202	355	81	51	3	132	9	12	72	115	67	665	57
FGG	163	18	1706	46353	739	16953	119	1510	228	3039	8	21	11032	11696	22	72
FGGY	30	34	159	269	62	395	49	3	139	25	46	47	134	133	93	39
FGL1	10	2	258	5413	99	4141	18	33	33	260	0	1	931	947	5	7
FGL2	169	261	149	150	148	605	431	5	364	38	444	1028	333	78	549	564
FGR	11	20	16	36	15	97	123	17	27	5	45	108	24	15	54	58
FH	33	170	173	492	202	165	59	88	409	34	192	229	193	175	609	136
FHAD1	16	10	8	2	60	2	16	2	2	0	19	9	12	21	65	5
FHDC1	24	224	91	6	130	0	49	102	108	0	79	99	171	24	275	115
FHIT	15	11	14	15	17	10	20	33	13	0	9	26	8	12	3	11
FHL1	55	325	69	83	17	135	40	1	387	4	20	274	85	32	32	242
FHL2	29	218	347	26	232	90	14	104	1258	1	93	60	446	14	1858	66
FHL3	4	48	56	20	82	8	16	1	170	6	19	11	35	5	181	10
FHL5	12	19	8	3	0	0	0	1	12	7	7	24	7	12	0	33
FHOD1	19	64	40	22	55	92	70	30	133	0	54	77	40	10	215	34
FHOD3	40	110	39	16	15	57	44	16	60	1	38	78	17	31	540	33
FIBCD1	0	0	1	0	1	0	4	0	1	0	0	0	15	2	15	0
FIBIN	16	227	28	1	36	15	6	0	422	0	19	21	21	7	138	39
FIBP	9	42	22	23	14	0	15	0	266	0	52	71	42	15	420	52
FICD	2	7	7	4	0	3	13	1	3	0	21	31	11	1	26	19
FIG4	62	66	87	27	100	22	119	11	206	0	212	302	105	36	222	186
FIGF	9	1	1	4	0	0	4	0	0	0	11	16	2	3	4	0
FIGLA	4	1	0	1	0	0	0	0	0	0	0	1	1	7	0	1
FIGN	13	67	17	30	17	3	24	0	56	6	7	31	36	30	232	16
FIGNL1	53	131	142	56	97	20	215	8	113	1	294	286	62	20	617	237
FIGNL2	3	6	7	13	20	14	13	3	1	0	2	5	4	4	1	1
FILIP1	39	47	45	60	35	16	45	1	135	3	17	67	27	49	27	59
FILIP1L	72	635	259	125	1083	341	209	130	726	13	101	286	168	38	678	248
FIP1L1	83	212	148	106	365	195	274	22	715	35	184	573	247	46	540	253
FIS1	19	52	58	127	38	54	37	0	329	16	49	54	66	24	234	37
FITM1	1	0	0	6	0	0	4	0	3	0	1	0	1	4	0	0
FITM2	1	8	25	13	51	6	7	0	52	0	15	11	12	2	10	7
FIZ1	5	14	14	9	16	0	22	89	23	22	11	9	9	2	37	7
FJX1	4	17	16	25	1	27	3	0	42	0	6	11	10	4	75	18
FKBP10	13	283	99	16	272	110	21	12	875	34	40	40	155	8	1130	19
FKBP11	29	130	44	94	64	99	89	37	501	36	100	176	52	8	107	95
FKBP14	38	292	148	51	141	49	144	9	553	1	161	194	86	23	394	102
FKBP15	81	209	145	142	223	141	255	33	457	5	342	429	245	66	993	243
FKBP1A	50	525	553	196	626	146	158	16	1922	63	1087	541	527	15	2527	523
FKBP1B	1	8	25	7	0	3	3	1	30	0	2	5	3	3	41	2
FKBP2	22	81	48	173	97	94	53	7	455	11	100	57	35	23	607	37
FKBP3	45	165	91	74	124	193	112	4	406	2	133	268	178	27	796	192
FKBP4	48	285	348	268	553	391	112	94	680	47	634	175	573	83	881	135
FKBP5	165	413	116	445	532	2045	660	60	521	44	420	1132	290	142	444	2865
FKBP6	1	0	0	2	0	0	1	0	0	0	0	0	0	11	0	0
FKBP7	21	112	16	18	29	27	25	4	437	0	38	27	27	26	76	16
FKBP8	30	209	216	205	163	359	118	44	730	34	107	150	110	40	1123	95
FKBP9	77	1294	1063	286	1816	197	169	36	3253	49	236	236	594	49	2379	207
FKBPL	3	19	6	5	15	0	11	0	9	0	9	9	4	3	127	6
FKRP	13	53	23	41	26	52	61	2	85	28	30	55	26	12	109	25
FKTN	81	221	188	66	305	147	194	17	281	2	405	381	358	59	720	215
FLAD1	23	56	51	40	59	94	131	4	54	20	268	103	99	21	316	57
FLCN	18	121	221	115	54	65	74	35	357	22	76	146	148	50	687	66
FLG	29	1496	5	3	2	1	34	0	24	0	4	281	5	35	28	107
FLG2	19	345	3	1	20	0	7	5	0	0	0	1	4	37	4	18
FLI1	107	190	31	43	20	166	411	41	119	4	125	688	84	38	117	453
FLII	96	411	485	319	255	225	264	39	991	24	282	391	248	46	3387	269
FLJ22184	1	0	10	3	108	0	15	15	46	0	24	0	0	3	12	1
FLJ23152	4	0	4	1	0	0	7	0	0	0	0	0	0	10	0	0
FLJ25363	4	0	1	4	0	0	4	0	1	0	0	0	3	11	0	0
FLJ27352	2	8	7	2	0	0	3	0	9	0	4	6	8	5	4	1
FLJ42280	8	0	0	12	1	0	11	0	0	0	0	0	3	18	0	0
FLJ43860	5	0	1	0	0	0	2	0	0	10	0	0	0	3	0	1
FLJ44635	12	21	10	7	9	5	8	0	70	0	8	20	3	11	13	4
FLJ45513	5	26	16	5	0	1	20	3	1	0	13	42	18	7	60	20
FLNA	451	4299	2047	598	2423	1182	1117	1252	7371	283	972	2602	1830	131	12854	1699
FLNB	213	2331	2503	2370	2007	1871	588	469	2062	140	1533	1088	1940	374	21437	806
FLNC	36	261	70	12	122	9	4	122	254	63	26	48	51	15	1411	73
FLOT1	40	245	344	209	531	245	128	68	574	21	155	217	262	54	1957	126
FLOT2	69	146	278	231	185	235	310	54	457	24	493	433	145	52	513	253
FLRT1	0	11	3	2	0	0	1	0	2	0	2	1	2	6	8	1
FLRT2	65	418	46	20	222	149	146	36	872	6	25	287	117	35	38	230
FLRT3	12	122	28	171	59	56	7	0	36	1	242	8	300	51	2	7
FLT1	108	313	233	156	503	923	188	21	986	62	230	309	553	202	712	258
FLT3	35	8	11	3	18	0	50	0	24	0	11	122	5	30	5	101
FLT3LG	8	13	3	3	6	9	29	0	28	0	5	45	7	1	37	12
FLT4	16	80	15	40	66	194	49	8	107	1	9	56	44	17	31	28
FLVCR1	57	117	193	41	247	160	172	70	101	4	221	198	220	22	287	124
FLVCR2	21	47	20	122	25	130	40	17	64	21	79	64	84	38	352	56
FLYWCH1	20	77	41	33	92	47	103	26	49	6	72	80	63	9	158	45
FLYWCH2	3	16	9	7	23	100	4	1	84	3	21	16	9	1	112	10
FMN1	56	328	240	24	747	67	145	132	451	0	143	116	468	52	575	97
FMN2	21	3	12	3	8	0	12	93	30	0	1	5	2	29	3	4
FMNL1	86	102	33	45	26	179	345	41	222	29	135	534	57	12	332	250
FMNL2	104	522	583	94	622	269	242	8	842	5	314	362	599	64	2317	235
FMNL3	333	369	257	87	327	166	1621	201	724	11	312	1879	364	64	549	986
FMO1	19	31	3	5	0	1	24	0	77	0	3	102	7	12	22	63
FMO2	90	416	44	15	106	161	116	2	484	4	16	517	30	32	25	400
FMO3	22	11	61	1262	33	832	10	172	58	77	74	75	467	646	4	43
FMO4	17	26	36	192	37	9	33	69	31	3	30	59	86	81	70	45
FMO5	27	11	360	1669	153	727	23	75	138	60	72	42	789	828	33	29
FMOD	52	519	106	37	148	297	76	23	1900	11	104	222	202	16	310	161
FMR1	158	661	896	350	1284	668	579	108	1085	90	799	979	627	146	1034	639
FMR1NB	4	0	5	0	0	0	9	0	0	0	1	0	2	3	1	0
FN1	488	12628	15048	33567	9403	16220	408	2426	67111	3530	4368	810	20603	12716	90327	679
