Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
61E3.4	368	885	451	737	589	62	539	990	245	748	876	239	358	661
A1BG	1	1	2	0	7	1	2	7	2	8	1	5	0	2
A1CF	47	1	2	0	1	3	2	5	6	1	0	11	9	0
A2M	3169	3114	2453	1009	9415	174	1343	18876	395	3885	8587	492	945	8283
A2ML1	79	3	3	0	38	0	0	11	6	8	16	11	3	43
A4GALT	10	13	51	26	124	3	23	129	18	56	55	20	10	69
A4GNT	9	0	0	0	0	1	1	0	0	0	0	6	0	0
AAAS	42	33	154	26	169	11	31	166	26	122	163	31	24	135
AACS	57	22	282	54	281	19	35	193	30	170	244	28	12	236
AADAC	11	0	1	0	0	0	0	0	1	0	0	0	0	0
AADACL2	9	0	0	0	0	0	1	0	0	0	0	6	0	0
AADACL3	25	0	0	0	0	1	5	0	2	1	1	4	0	0
AADACL4	7	1	0	0	0	0	1	1	5	0	0	1	0	0
AADAT	61	60	494	105	130	4	30	183	18	329	341	11	17	257
AAED1	15	6	44	7	110	2	10	70	6	52	55	0	15	88
AAGAB	119	62	536	145	1095	36	102	673	65	408	681	73	77	597
AAK1	594	475	1516	1037	3965	180	667	1366	372	2330	1268	336	662	2448
AAMDC	26	13	76	16	112	0	15	182	7	34	105	4	5	99
AAMP	92	119	357	63	709	34	72	477	53	339	473	66	60	481
AANAT	5	0	0	0	0	1	0	0	0	0	0	4	0	0
AAR2	43	39	203	42	278	9	40	211	24	142	199	26	22	190
AARD	10	1	0	2	11	0	1	3	2	0	1	2	1	3
AARS	262	240	1337	286	1529	35	122	1246	73	999	1225	62	67	1125
AARS2	64	93	156	44	280	13	38	252	12	162	227	46	9	197
AARSD1	34	15	147	25	217	4	10	130	5	103	154	0	1	136
AASDH	77	34	284	53	335	8	26	288	16	193	265	10	24	248
AASDHPPT	84	46	470	103	664	16	52	577	47	309	541	25	50	569
AASS	221	348	637	312	1055	64	293	1122	152	688	1011	119	171	837
AATF	98	73	330	75	541	11	45	454	33	280	397	46	35	370
AATK	12	13	6	5	29	5	6	27	10	7	5	12	7	2
ABAT	305	116	950	218	839	28	115	537	96	1528	1219	109	134	2205
ABCA1	237	160	919	297	820	55	241	1231	131	644	912	101	251	841
ABCA10	68	5	57	45	62	6	29	108	26	65	60	13	24	42
ABCA12	90	1	1	1	7	2	1	11	19	2	8	10	2	1
ABCA13	111	6	5	2	3	0	8	4	9	1	1	19	0	0
ABCA2	123	105	528	159	393	22	107	360	59	247	379	111	56	286
ABCA3	84	39	344	79	323	9	46	250	29	430	333	42	27	311
ABCA4	70	1	0	1	6	2	5	7	23	0	6	13	1	1
ABCA5	203	133	1003	322	1092	36	190	1140	109	560	957	66	88	796
ABCA6	85	14	81	47	96	13	62	162	29	114	118	22	53	79
ABCA7	22	21	31	22	108	11	17	81	21	34	70	51	15	35
ABCA8	90	104	306	173	436	41	117	368	134	413	354	71	53	173
ABCA9	78	14	30	33	47	7	44	73	34	62	44	13	16	47
ABCB1	56	28	109	39	377	2	30	483	30	150	222	33	19	163
ABCB10	71	11	228	58	313	6	45	318	31	187	279	11	35	278
ABCB11	50	1	0	1	10	0	0	0	7	0	0	1	2	1
ABCB4	59	1	17	9	23	1	7	35	7	27	15	11	1	23
ABCB5	56	0	3	0	2	2	2	4	7	5	0	3	0	1
ABCB6	62	35	196	49	275	4	25	220	15	139	267	33	15	119
ABCB7	51	43	232	69	353	4	43	307	26	188	264	14	28	255
ABCB8	35	56	58	23	95	5	27	77	22	62	69	21	9	66
ABCB9	20	11	10	4	22	2	7	32	6	10	14	6	11	10
ABCC1	219	209	859	317	770	48	234	936	126	571	968	190	128	617
ABCC10	60	79	66	45	153	19	30	143	31	86	137	52	21	88
ABCC11	35	3	5	1	274	1	3	136	15	399	6	11	18	277
ABCC12	46	0	1	0	3	3	1	7	2	13	0	12	4	2
ABCC2	59	1	6	5	11	2	8	7	3	7	15	11	1	11
ABCC3	53	28	35	32	85	22	14	105	18	22	72	43	4	9
ABCC4	655	268	14308	2275	15506	77	1139	3330	297	10878	12497	583	838	16822
ABCC5	108	68	139	106	453	31	97	401	77	345	246	74	78	333
ABCC6	61	40	4	2	14	3	4	18	18	9	47	25	9	10
ABCC8	32	25	53	15	9	6	11	29	13	11	175	35	12	4
ABCC9	251	72	251	123	745	53	184	1351	82	335	656	40	83	609
ABCD1	16	48	57	10	106	8	14	129	13	63	65	21	13	68
ABCD2	31	20	16	10	30	1	12	77	0	16	20	10	5	24
ABCD3	202	63	802	123	1426	20	101	1181	62	551	1135	48	41	839
ABCD4	62	43	161	60	224	9	23	220	22	124	195	36	21	183
ABCE1	157	60	971	155	1324	31	108	902	66	563	916	48	93	849
ABCF1	162	136	554	122	1030	16	64	789	61	483	689	68	43	577
ABCF2	109	91	405	88	738	15	66	595	45	314	499	37	24	378
ABCF3	92	73	326	58	486	13	28	363	15	245	322	34	24	328
ABCG1	76	35	288	72	737	8	27	253	35	158	215	29	22	336
ABCG2	56	28	120	29	145	11	25	214	34	119	243	20	14	172
ABCG4	15	0	0	1	0	2	5	2	6	1	1	12	4	0
ABCG5	7	0	0	0	0	0	0	0	1	0	0	2	0	0
ABCG8	8	0	0	0	0	0	3	0	3	0	0	4	1	0
ABHD1	5	0	2	1	5	1	0	2	3	10	7	1	1	11
ABHD10	96	41	820	101	865	34	92	543	46	424	741	42	89	672
ABHD11	46	23	108	25	443	0	18	225	14	158	161	18	4	159
ABHD12	99	62	348	60	793	28	84	425	55	352	377	70	51	536
ABHD12B	18	2	0	1	0	0	0	0	0	0	0	2	0	0
ABHD13	72	33	308	82	489	17	72	451	39	252	385	24	61	409
ABHD14A	18	9	31	10	71	1	4	57	10	48	56	3	13	63
ABHD14B	70	72	326	71	587	61	114	312	88	332	337	95	152	460
ABHD15	28	33	43	18	126	7	10	119	11	45	83	20	5	76
ABHD16A	51	57	256	34	368	18	26	298	27	151	222	36	21	222
ABHD16B	2	0	2	0	1	0	0	1	1	0	1	1	2	1
ABHD2	1128	627	6404	1556	12954	472	665	4603	693	12813	5634	417	1746	15607
ABHD3	24	10	136	18	142	4	16	58	7	66	93	2	23	136
ABHD4	43	60	170	46	175	8	34	225	19	148	150	29	37	134
ABHD5	83	31	252	79	378	11	60	336	42	139	298	38	33	230
ABHD6	40	14	46	12	92	4	15	109	24	65	81	16	6	61
ABHD8	14	11	19	12	37	13	10	46	7	11	26	7	6	21
ABI1	166	80	600	155	777	21	97	824	82	474	692	61	84	747
ABI2	218	247	595	303	712	86	387	1008	206	677	807	143	295	914
ABI3	13	25	12	11	46	1	7	45	11	17	31	11	11	13
ABI3BP	70	223	33	39	99	27	87	160	62	71	56	21	95	62
ABL1	133	199	445	188	537	46	164	533	104	346	462	118	125	319
ABL2	180	210	458	202	598	58	234	592	159	462	464	139	235	553
ABLIM1	257	249	951	382	1558	94	425	1243	209	565	451	190	291	1485
ABLIM2	21	2	16	6	10	6	11	19	12	19	8	19	17	10
ABLIM3	55	91	41	25	76	26	45	82	56	100	73	61	46	88
ABO	23	85	2	32	25	81	59	41	217	16	25	77	39	22
ABP1	9	14	17	2	12	3	3	11	5	25	90	10	1	13
ABR	212	263	323	176	862	55	150	801	149	571	546	185	81	538
ABRA	11	0	0	0	4	0	7	8	2	0	1	1	1	0
ABRACL	19	3	128	19	86	2	7	78	2	45	136	9	7	58
ABT1	30	10	132	23	121	10	16	104	10	49	96	21	15	77
ABTB1	15	37	35	11	31	0	22	51	16	24	42	21	14	30
ABTB2	29	17	24	20	87	3	10	81	12	31	45	26	11	42
ACAA1	162	62	351	97	716	4	37	440	36	427	375	20	18	505
ACAA2	46	15	147	26	123	8	30	207	24	146	163	13	18	184
ACACA	775	438	5720	1794	3034	98	711	2379	351	4096	5025	499	398	4269
ACACB	132	247	139	130	315	63	180	608	148	191	330	154	113	188
ACAD10	62	45	192	83	252	10	44	184	34	220	199	11	39	287
ACAD11	154	105	316	188	446	7	141	590	53	366	649	36	22	432
ACAD8	49	50	159	38	589	15	42	306	30	779	267	29	57	1129
ACAD9	78	68	317	77	482	12	57	395	28	255	307	41	48	341
ACADL	99	18	62	20	298	5	33	214	29	374	516	5	7	498
ACADM	97	19	710	117	755	10	55	635	30	302	727	31	37	637
ACADS	5	24	26	5	56	4	4	29	3	31	21	7	0	21
ACADSB	353	115	690	204	2372	90	246	1405	192	1666	1426	83	209	2339
ACADVL	426	302	1326	235	3141	17	127	2046	99	1284	2134	85	63	1448
ACAN	23	14	2	1	0	4	10	18	16	6	5	5	0	3
ACAP1	25	16	8	21	24	2	10	42	10	14	22	35	2	15
ACAP2	219	113	1014	255	1266	46	225	1251	116	588	1243	91	142	998
ACAP3	31	59	93	40	200	8	28	165	12	109	164	49	18	82
ACAT1	73	68	657	83	752	2	25	671	19	290	710	31	32	437
ACAT2	63	24	396	39	230	4	14	252	12	300	343	6	21	372
ACBD3	204	87	999	258	1341	24	135	905	105	623	918	61	109	952
ACBD4	18	18	14	16	83	13	22	82	20	31	60	28	9	49
ACBD5	138	46	626	118	727	11	81	665	74	482	762	35	70	920
ACBD6	55	51	198	54	165	8	25	261	15	155	232	19	8	154
ACBD7	39	10	10	1	14	5	3	10	6	6	11	15	19	4
ACCS	21	68	58	32	87	3	30	109	29	54	105	43	23	71
ACCSL	17	0	0	0	0	0	0	0	4	0	0	1	2	0
ACD	19	48	77	17	69	4	11	73	10	47	74	36	7	36
ACE	94	56	429	57	216	12	13	275	26	184	201	28	16	203
ACE2	26	1	7	3	17	0	4	13	6	4	4	1	2	8
ACER1	4	0	0	0	1	1	1	0	2	1	1	5	1	1
ACER2	40	8	151	39	341	2	30	161	25	203	129	24	18	284
ACER3	81	58	672	140	810	34	110	366	66	240	495	89	66	224
ACHE	10	0	7	4	104	1	5	48	5	2	23	36	5	9
ACIN1	381	530	1132	488	1701	59	240	1726	134	1282	1476	197	142	1302
ACLY	588	262	2187	441	3440	46	260	1569	138	2806	2848	148	206	4289
ACMSD	16	0	0	0	0	0	1	0	2	0	0	6	0	1
ACN9	16	10	108	13	91	1	0	51	6	50	98	2	1	87
ACO1	150	140	347	78	665	19	97	725	44	277	595	21	83	514
ACO2	206	88	731	149	1136	19	66	796	51	686	921	67	61	908
ACOT1	13	1	22	5	54	1	2	25	2	15	44	8	3	27
ACOT11	73	61	27	18	77	21	25	114	35	23	66	66	21	22
ACOT12	27	0	1	0	0	4	0	1	0	2	1	3	1	1
ACOT13	110	61	265	54	657	11	34	363	36	218	318	28	23	253
ACOT2	36	12	25	4	149	1	8	144	1	45	78	5	4	65
ACOT4	7	0	6	1	14	0	0	9	0	4	9	0	1	5
ACOT6	8	1	0	0	0	1	0	1	0	0	0	4	0	1
ACOT7	17	4	32	12	37	2	5	52	3	23	35	9	4	23
ACOT8	9	18	78	13	95	1	9	73	9	59	75	5	5	71
ACOT9	65	11	205	63	292	10	25	333	16	139	297	18	32	185
ACOX1	276	185	1823	377	2613	87	257	1685	163	1229	1678	170	190	1926
ACOX2	63	37	20	10	98	2	11	166	21	43	105	14	13	48
ACOX3	90	71	143	69	387	19	71	339	54	255	256	32	41	438
ACOXL	37	20	11	12	220	4	25	142	21	178	66	8	21	302
ACP1	154	114	1137	255	1152	61	205	842	97	585	880	116	160	980
ACP2	46	21	177	31	363	6	30	178	18	186	164	16	19	266
ACP5	8	16	6	4	117	0	4	82	16	85	44	8	14	71
ACP6	42	13	147	27	308	6	41	176	18	127	204	22	19	160
ACPL2	66	46	312	45	266	22	62	268	60	183	389	36	38	360
ACPP	30330	6872	52086	5590	87185	1156	1411	49593	5175	44156	74965	1064	901	49437
ACPT	4	0	0	0	0	0	0	0	0	0	1	3	2	0
ACR	6	0	1	1	1	0	2	1	6	0	1	14	4	0
ACRBP	12	5	11	6	14	0	3	16	2	16	25	10	1	23
ACRC	25	19	21	6	25	0	10	32	6	50	29	1	4	35
ACRV1	13	0	6	9	0	0	4	5	4	13	4	14	3	3
ACSBG1	17	1	2	1	0	4	0	3	5	3	3	2	1	1
ACSBG2	19	0	1	0	2	1	1	1	4	1	0	1	3	0
ACSF2	44	19	23	16	162	11	16	140	21	32	99	3	10	26
ACSF3	38	19	96	33	156	9	11	98	22	72	114	26	14	91
ACSL1	399	142	802	192	3712	68	161	2016	181	1663	1471	82	203	2874
ACSL3	678	148	5802	928	4994	48	394	3008	185	4279	6446	174	214	5744
ACSL4	164	112	235	113	1023	42	106	927	82	241	549	36	87	323
ACSL5	79	79	599	150	590	25	160	831	45	158	395	70	177	292
ACSL6	38	8	46	17	19	8	10	21	12	10	22	10	4	21
ACSM1	32	8	73	55	897	12	121	131	13	80	340	28	13	382
ACSM2A	24	0	0	0	0	0	0	1	1	0	0	4	0	0
ACSM2B	27	0	0	0	0	0	0	1	0	0	1	10	2	0
ACSM3	126	22	946	131	360	2	35	348	17	550	318	38	55	311
ACSM4	17	0	0	0	0	1	3	0	3	0	0	1	1	0
ACSM5	21	2	2	2	5	4	0	3	7	3	2	3	0	2
ACSS1	135	98	696	280	1105	38	160	487	81	543	792	76	106	665
ACSS2	62	52	92	43	201	13	45	161	20	96	128	44	62	151
ACSS3	107	56	56	24	185	17	53	374	21	128	218	32	25	150
ACTA1	5	4	2	1	50	4	236	4	5	5	5	3	5	0
ACTA2	2157	2383	4131	1249	15442	423	1548	28331	763	4329	14206	654	989	8280
ACTB	4106	5317	10889	4093	22036	1311	3954	24503	2076	9368	15805	2560	3810	12589
ACTBL2	11	0	0	1	6	1	1	1	5	0	1	0	2	0
ACTC1	121	21	22	11	252	13	79	594	19	32	152	7	44	51
ACTG1	1765	1552	11640	2337	12795	320	1087	9222	618	8141	7807	765	983	12586
ACTG2	2018	1466	2310	566	9106	284	1218	17217	622	2034	10155	515	798	4071
ACTL10	5	0	10	3	22	1	2	13	1	12	4	0	3	12
ACTL6A	45	15	456	54	450	9	23	372	17	210	485	2	32	331
ACTL6B	8	0	0	0	0	2	1	0	2	0	0	3	0	0
ACTL7A	4	0	0	1	0	0	0	0	1	0	0	0	1	0
ACTL7B	0	0	0	1	0	0	0	0	1	0	0	1	0	0
ACTL8	8	0	1	0	0	0	1	0	2	0	0	3	2	0
ACTL9	1	0	0	0	0	1	0	0	0	0	0	3	1	0
ACTN1	775	670	1405	439	3079	149	494	5323	241	1690	3210	262	334	1771
ACTN2	30	17	2	2	19	1	72	28	6	5	23	7	11	8
ACTN4	590	533	958	286	3649	130	345	2607	253	1293	2046	318	316	1642
ACTR10	93	24	498	50	593	5	23	485	27	223	462	9	38	388
ACTR1A	116	135	299	130	632	66	150	542	78	352	451	127	133	385
ACTR1B	57	34	179	55	306	17	49	239	38	143	264	34	44	195
ACTR2	453	342	1274	577	2572	179	551	1929	286	1384	1856	189	489	1938
ACTR3	257	117	1702	340	1791	62	211	1638	99	858	1368	103	158	1168
ACTR3B	20	29	71	21	80	2	10	85	8	46	67	6	2	75
ACTR3C	30	20	72	29	57	2	15	53	15	49	69	8	10	65
ACTR5	25	30	62	17	90	3	8	103	6	71	82	11	3	70
ACTR6	51	19	282	43	383	8	26	307	17	163	304	22	25	235
ACTR8	94	78	269	47	462	9	33	427	25	338	384	44	32	434
ACTRT1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTRT2	2	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTRT3	6	7	4	3	11	0	3	25	3	5	7	3	17	3
ACVR1	75	62	133	51	306	8	40	342	40	156	246	28	26	207
ACVR1B	99	97	393	123	756	21	89	540	66	341	352	75	58	486
ACVR1C	43	25	12	4	15	1	5	16	5	6	31	13	7	5
ACVR2A	150	67	456	99	707	42	111	653	73	514	608	66	88	652
ACVR2B	111	55	696	269	452	59	161	391	115	459	500	114	138	601
ACVRL1	33	89	63	34	105	13	31	131	22	72	128	48	10	63
ACY1	18	7	97	19	97	2	12	52	7	40	71	8	7	77
ACY3	7	3	0	0	4	0	0	9	0	13	3	7	1	0
ACYP1	12	12	27	9	38	5	4	56	2	28	70	7	8	39
ACYP2	10	2	46	11	45	1	14	42	3	27	40	1	1	43
ADA	9	1	3	7	2	0	3	10	5	4	15	8	2	5
ADAD1	22	0	0	0	0	1	0	0	3	0	0	1	0	0
ADAD2	2	0	0	0	0	2	0	0	5	0	1	9	0	3
ADAL	63	14	128	21	173	8	31	134	26	90	101	18	11	129
ADAM10	387	139	1668	294	3167	45	193	2116	128	1376	2752	78	108	2556
ADAM11	11	3	7	2	16	2	4	16	9	8	15	12	3	10
ADAM12	63	0	8	3	10	3	14	47	8	9	21	7	9	14
ADAM15	76	67	207	79	350	6	54	281	30	265	234	53	21	192
ADAM17	108	99	230	97	564	13	75	603	46	235	419	50	61	373
ADAM18	32	1	0	0	0	1	0	0	7	0	0	0	1	0
ADAM19	72	137	55	83	132	32	99	254	66	46	116	113	71	73
ADAM2	15	0	542	194	10	0	16	9	2	6	108	7	5	93
ADAM20	19	7	10	14	5	2	27	27	23	14	21	15	23	15
ADAM21	16	1	30	6	0	0	0	0	3	1	12	2	4	0
ADAM22	193	75	346	187	843	68	321	1416	150	390	834	100	146	854
ADAM23	38	8	13	13	44	6	7	47	6	7	13	4	7	13
ADAM28	64	37	113	75	466	11	37	355	24	93	124	41	18	55
ADAM29	18	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM30	9	0	0	0	1	2	0	0	1	0	0	3	0	0
ADAM32	34	0	19	5	22	2	7	47	15	25	16	2	5	56
ADAM33	37	148	48	52	189	17	70	331	53	75	273	72	40	80
ADAM7	23	6	138	34	0	1	1	19	3	0	1	13	1	2
ADAM8	15	19	15	8	33	5	7	44	6	16	24	18	3	21
ADAM9	347	126	4418	600	3921	46	218	1945	105	1636	2261	92	171	3029
ADAMDEC1	25	2	9	1	15	0	0	58	2	9	7	0	1	16
ADAMTS1	82	198	123	126	1918	98	384	2746	156	353	499	208	352	529
ADAMTS10	32	19	25	14	56	2	22	112	19	31	97	30	10	28
ADAMTS12	47	32	18	11	24	6	16	41	17	25	45	19	11	36
ADAMTS13	18	5	15	7	17	0	7	23	10	13	21	12	7	18
ADAMTS14	18	11	0	2	0	4	3	6	7	3	9	10	5	0
ADAMTS15	20	16	1	2	24	5	17	56	18	21	12	23	12	24
ADAMTS16	37	1	1	0	2	2	2	3	10	2	12	6	1	1
ADAMTS17	34	13	28	18	17	3	22	35	23	29	37	21	11	29
ADAMTS18	65	18	0	2	2	3	2	6	11	0	7	15	2	1
ADAMTS19	52	0	2	1	4	1	6	12	6	5	1	1	8	20
ADAMTS2	35	99	41	34	171	13	47	197	26	69	96	32	25	85
ADAMTS20	56	0	0	0	0	2	0	0	6	0	0	1	1	0
ADAMTS3	46	2	108	33	119	1	12	57	8	66	78	6	10	104
ADAMTS4	15	31	3	4	183	34	49	303	15	12	46	66	86	16
ADAMTS5	112	56	76	38	154	21	124	565	60	72	189	56	107	259
ADAMTS6	58	5	18	14	30	7	14	88	20	8	34	22	13	21
ADAMTS7	14	12	5	0	10	2	2	13	6	5	20	27	5	3
ADAMTS8	13	27	30	10	85	8	12	144	11	9	67	21	13	37
ADAMTS9	147	77	115	53	528	42	112	980	93	212	432	93	75	148
ADAMTSL1	92	32	33	19	196	11	27	210	33	943	41	38	57	418
ADAMTSL2	15	45	21	6	34	2	10	47	7	17	24	27	10	15
ADAMTSL3	96	88	882	205	500	21	76	686	60	150	225	29	93	367
ADAMTSL4	15	65	7	7	12	10	34	24	10	2	16	34	15	8
ADAMTSL5	16	14	4	4	22	5	25	14	14	14	12	12	13	10
ADAP1	5	14	12	3	20	6	1	23	2	15	15	1	3	16
ADAP2	29	23	26	23	68	1	21	68	11	38	42	26	16	31
ADAR	780	607	2984	814	4278	201	623	3860	425	2244	2985	426	448	3218
ADARB1	139	159	186	132	289	34	166	332	89	450	232	89	144	397
ADARB2	26	0	183	63	8	1	35	18	6	9	124	29	14	3
ADAT1	83	58	140	29	229	11	35	134	31	124	178	28	15	168
ADAT2	44	4	59	41	82	4	41	77	26	124	99	23	28	124
ADAT3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADC	8	6	11	7	16	3	6	23	4	23	18	15	7	45
ADCK1	14	13	34	14	60	1	9	47	8	36	60	15	9	43
ADCK2	34	13	111	20	147	10	20	133	15	77	101	23	12	88
ADCK3	61	52	675	93	542	3	57	422	29	367	333	27	43	565
ADCK4	28	46	34	26	72	10	19	88	17	41	53	38	15	62
ADCK5	9	11	14	5	24	2	1	30	3	19	31	13	3	22
ADCY1	112	89	468	103	234	24	66	292	43	208	463	54	31	257
ADCY10	55	3	16	9	11	0	3	8	12	23	7	7	6	16
ADCY2	98	65	44	35	962	11	26	439	18	170	155	49	16	160
ADCY3	59	63	136	69	248	24	47	381	32	128	208	44	18	111
ADCY4	21	34	27	10	26	10	15	53	11	24	54	36	10	18
ADCY5	107	294	142	99	298	40	149	564	129	189	476	159	130	174
ADCY6	142	196	623	202	660	38	167	572	92	621	674	199	88	534
ADCY7	34	42	82	59	83	11	61	152	35	59	62	46	15	52
ADCY8	31	0	1	0	5	0	1	1	2	0	0	3	1	0
ADCY9	72	157	156	73	220	24	46	304	48	117	185	59	55	111
ADCYAP1	20	4	8	9	3	5	10	25	9	12	2	11	2	3
ADCYAP1R1	39	29	9	9	28	17	34	66	25	12	29	43	28	23
ADD1	560	401	2214	505	2983	112	306	3072	194	1651	2554	236	262	2186
ADD2	31	1	12	9	61	5	6	10	8	4	14	17	12	4
ADD3	313	235	749	234	1024	55	137	1157	173	537	905	70	109	1092
ADGB	59	0	0	0	1	1	0	2	6	0	0	3	0	1
ADH1A	6	3	1	0	1	0	0	0	1	3	0	0	1	2
ADH1B	31	29	11	6	9	2	25	58	23	12	36	8	25	36
ADH1C	26	12	6	11	72	3	23	45	6	28	33	5	10	69
ADH4	12	1	0	1	0	0	5	3	2	4	0	13	12	5
ADH5	334	111	1690	181	1835	25	167	2197	85	1555	2036	59	142	3180
ADH6	21	1	0	1	3	0	8	7	8	1	0	6	7	3
ADH7	16	0	0	0	0	0	0	0	1	0	0	1	0	0
ADHFE1	45	53	56	53	164	17	52	166	26	148	186	18	27	190
ADI1	324	150	2213	355	2212	47	136	1298	91	1310	1607	97	140	1978
ADIG	2	0	0	0	0	1	0	0	4	0	0	10	0	0
ADIPOQ	23	0	0	0	1	1	8	0	4	0	0	17	0	0
ADIPOR1	178	149	1267	255	2138	46	162	1151	95	929	1242	107	120	1355
ADIPOR2	141	97	571	149	844	40	135	714	92	434	656	84	104	1010
ADK	78	32	194	39	316	3	21	287	14	158	320	13	15	239
ADM	17	9	26	11	189	3	11	49	5	31	29	18	19	72
ADM2	27	21	59	27	31	8	18	33	12	75	54	34	13	66
ADNP	446	337	2020	687	1816	73	382	1814	254	1670	1746	174	243	2157
ADNP2	98	61	390	131	450	18	78	443	66	312	463	87	76	501
ADO	83	39	404	86	533	19	106	491	49	346	537	44	61	537
ADORA1	9	3	1	1	5	1	6	1	5	0	1	8	1	0
ADORA2A	8	6	7	8	9	6	7	18	7	5	12	18	1	5
ADORA2B	5	0	3	3	13	2	1	19	4	0	20	4	1	0
ADORA3	21	2	2	1	12	1	3	4	5	4	9	2	5	3
ADPGK	127	80	494	145	928	9	84	524	39	948	650	49	70	1352
ADPRH	46	31	154	60	162	31	42	151	21	99	160	25	12	84
ADPRHL1	6	0	67	9	35	0	17	27	4	60	16	6	10	55
ADPRHL2	27	19	148	26	225	4	11	180	12	112	126	23	5	122
ADPRM	28	6	41	12	49	4	9	56	8	72	80	5	17	91
ADRA1A	72	51	25	28	97	13	85	242	41	54	192	25	65	114
ADRA1B	3	1	0	1	0	1	2	3	1	0	5	5	1	1
ADRA1D	2	3	0	1	5	4	23	31	2	4	13	13	3	17
ADRA2A	17	27	131	57	43	10	33	101	13	60	97	41	26	128
ADRA2B	9	19	1	2	2	0	1	5	4	0	6	12	5	0
ADRA2C	2	5	47	9	72	2	6	66	6	19	16	16	2	5
ADRB1	31	17	357	146	123	6	70	115	21	218	296	51	63	324
ADRB2	47	18	338	87	273	7	15	139	22	149	177	14	22	242
ADRB3	5	1	0	1	0	1	3	2	1	0	0	10	0	2
ADRBK1	221	137	824	255	910	23	125	767	70	872	941	161	37	836
ADRBK2	340	111	832	247	971	40	135	989	103	746	986	88	157	829
ADRM1	38	27	255	35	273	3	17	241	6	160	205	13	5	185
ADSL	83	24	392	91	483	23	45	335	26	263	427	26	35	393
ADSS	138	33	816	161	777	4	54	647	39	500	709	36	47	815
ADSSL1	17	19	27	7	84	1	9	48	6	11	42	7	6	29
ADTRP	23	1	4	3	22	0	1	5	8	39	10	0	4	15
AEBP1	288	1228	396	363	1496	118	317	2067	270	586	1015	308	264	820
AEBP2	152	136	413	201	488	21	122	604	66	258	447	58	113	428
AEN	24	11	69	16	235	12	50	217	17	109	168	30	25	129
AES	335	468	1313	360	2023	151	352	1522	257	932	1493	406	274	1093
AFAP1	134	132	400	145	431	23	181	616	73	376	518	145	124	413
AFAP1L1	37	24	40	15	57	7	8	79	10	24	40	30	6	22
AFAP1L2	73	37	46	35	613	31	20	373	31	55	158	52	20	54
AFF1	726	562	2348	1048	2842	267	895	2264	549	2643	2466	531	877	2924
AFF2	64	52	11	13	33	9	52	133	35	14	126	24	8	20
AFF3	592	267	459	220	556	52	183	1008	284	4892	1098	104	533	5923
AFF4	894	525	3972	1214	4972	202	797	4136	546	3091	4096	265	641	4574
AFG3L2	176	106	854	149	1304	17	88	997	44	583	895	42	59	885
AFM	27	1	0	0	0	0	0	0	2	0	0	0	1	0
AFMID	48	47	315	86	265	7	46	235	31	141	289	31	34	191
AFP	21	0	0	0	0	3	1	0	6	0	0	0	0	0
AFTPH	267	152	1187	258	2733	58	200	1726	103	1356	1715	86	133	1908
AGA	64	14	581	51	408	1	17	313	9	301	436	13	7	520
AGAP1	159	160	522	192	550	36	170	574	104	753	849	128	84	657
AGAP10	27	42	11	11	19	0	4	11	4	12	10	8	0	6
AGAP11	71	131	143	53	196	2	47	226	38	332	243	23	24	244
AGAP2	39	16	10	18	31	6	5	33	12	15	13	32	10	12
AGAP3	100	106	328	89	518	35	77	519	51	318	364	71	32	330
AGAP4	5	4	57	21	22	1	4	28	5	19	43	1	2	61
AGAP5	57	55	70	53	120	2	22	129	21	148	145	3	6	149
AGAP6	49	73	118	56	116	0	62	206	14	157	177	23	14	124
AGAP7	43	39	55	13	142	6	13	76	13	89	99	11	4	124
AGAP8	0	0	1	1	0	0	0	0	1	0	0	0	0	0
AGAP9	48	24	79	34	121	2	3	118	3	153	150	5	0	148
AGBL1	25	1	0	0	21	4	2	37	8	0	0	13	3	0
AGBL2	40	9	7	3	30	1	5	31	9	15	15	5	0	24
AGBL3	43	3	16	12	37	2	7	30	9	28	34	1	9	17
AGBL4	40	16	3	1	2	0	0	7	8	2	3	5	0	0
AGBL5	84	59	134	34	236	11	46	179	49	187	229	71	48	235
AGER	11	19	13	4	11	4	6	30	4	13	20	15	7	5
AGFG1	182	110	484	183	1010	40	196	912	134	591	903	101	166	737
