Feature.ID	P1_FF_Total_Exon_Reads_fwd_RNA.Seq	P1_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P2_FF_Total_Exon_Reads_fwd_RNA.Seq	P2_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P3_FF_Total_Exon_Reads_fwd_RNA.Seq	P3_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P4_FF_Total_Exon_Reads_fwd_RNA.Seq	P5_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P5_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FF_Total_Exon_Reads_fwd_RNA.Seq	P6_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FFPE_Total_Exon_Reads_fwd_RNA.Seq	P7_FF_Total_Exon_Reads_fwd_RNA.Seq
VDAC2	153	92	701	175	977	29	115	800	78	455	822	89	89	742
VDAC3	101	15	683	85	686	12	50	651	31	227	553	23	29	379
VDR	32	17	26	10	36	10	12	29	10	12	12	39	7	14
VEGFA	346	402	400	255	5350	98	337	5399	463	1575	3905	242	128	1328
VEGFB	68	78	162	71	386	21	66	351	57	161	313	53	42	253
VEGFC	12	2	57	10	62	5	7	80	6	44	37	7	1	52
VENTX	3	1	4	0	1	2	4	5	6	3	4	8	0	1
VEPH1	48	0	5	0	79	0	24	71	13	7	14	2	1	30
VEZF1	250	166	966	269	1509	60	270	1337	170	752	1096	112	228	1053
VEZT	210	124	1111	271	1743	34	170	1531	115	935	1163	50	88	1211
VGF	1	0	0	0	1	1	0	0	1	1	3	7	2	1
VGLL1	4	0	0	3	4	1	0	18	0	0	7	1	0	0
VGLL2	11	0	0	0	1	2	4	0	2	0	0	1	1	0
VGLL3	248	158	134	87	468	52	229	824	739	1192	651	103	151	967
VGLL4	118	150	373	139	555	82	165	465	112	275	428	175	174	352
VHL	166	221	715	213	810	47	134	616	113	525	742	139	125	623
VHLL	4	0	1	1	0	0	1	2	1	0	2	1	1	0
VIL1	14	0	0	0	2	0	2	0	1	2	0	9	2	0
VILL	27	25	6	9	122	4	7	98	31	83	91	14	0	77
VIM	669	917	932	433	2141	74	281	3520	296	1137	1886	279	208	1334
VIMP	97	60	617	107	813	16	35	596	26	452	592	28	22	556
VIP	8	0	0	0	2	1	2	41	2	3	5	2	4	1
VIPAS39	90	51	150	68	212	5	48	196	28	163	197	51	42	171
