Feature.ID	B1_Total_Exon_Reads_fwd_RNA.Seq	B2_Total_Exon_Reads_fwd_RNA.Seq	B3_Total_Exon_Reads_fwd_RNA.Seq	B4_Total_Exon_Reads_fwd_RNA.Seq	B5_Total_Exon_Reads_fwd_RNA.Seq	B6_Total_Exon_Reads_fwd_RNA.Seq	B7_Total_Exon_Reads_fwd_RNA.Seq	B8_Total_Exon_Reads_fwd_RNA.Seq	B9_Total_Exon_Reads_fwd_RNA.Seq	B10_Total_Exon_Reads_fwd_RNA.Seq
EGFL6	212	131	4	32	27	9	61	49	31	32
EGFL7	9	28	8	8	14	0	8	12	5	16
EGFL8	24	13	17	38	30	2	9	32	8	31
EGFLAM	13	34	11	25	57	31	34	68	34	88
EGFR	909	702	293	296	132	75	289	89	180	1940
EGLN1	1591	2303	880	547	432	102	499	588	171	4089
EGLN2	206	199	77	115	151	13	105	95	34	663
EGLN3	1231	1566	1761	1020	315	127	362	188	208	3649
EGR1	54	678	27	106	172	10	153	134	71	62
EGR2	8	25	7	1	11	10	40	9	13	18
EGR3	9	25	6	3	19	6	54	13	9	78
EGR4	1	0	0	0	0	2	5	0	2	2
EHBP1	746	562	477	502	622	48	375	438	113	1743
EHBP1L1	1262	756	441	637	429	62	663	538	109	1979
EHD1	162	213	53	100	63	8	52	95	14	543
EHD2	36	114	14	46	15	14	19	12	8	112
EHD3	883	535	773	595	132	40	234	117	70	1561
EHD4	699	1055	133	560	480	29	250	449	123	2190
EHF	13420	11992	7256	5588	2064	1066	5589	3453	1620	37505
EHHADH	625	1460	118	132	174	28	147	535	43	428
EHMT1	797	770	187	710	459	56	431	616	77	1195
EHMT2	489	327	223	291	197	36	174	246	72	640
EI24	1310	1601	509	958	749	63	507	661	197	3495
EID1	2164	3701	1014	629	1365	119	804	592	292	5872
EID2	70	126	35	27	61	9	29	24	10	297
EID2B	2	5	4	0	32	6	2	5	7	25
EIF1	2547	1862	885	1962	514	117	750	810	244	3852
EIF1AD	302	331	127	162	159	33	108	173	37	886
EIF1AX	2070	2619	685	1686	1229	95	666	1291	200	6597
EIF1AY	567	37	197	2	250	1	4	5	5	919
EIF1B	353	442	97	179	114	22	150	128	42	725
EIF2A	2824	2857	838	1436	932	110	857	344	164	3161
EIF2AK1	1950	1877	823	1099	1410	136	584	733	193	4969
EIF2AK2	2053	2009	880	1852	1135	96	785	760	270	5925
EIF2AK3	1796	1134	755	910	902	102	546	802	172	4378
EIF2AK4	1860	984	531	397	929	64	565	645	273	2864
EIF2B1	477	479	184	313	387	34	204	245	72	1352
EIF2B2	167	205	75	81	127	32	102	107	43	451
EIF2B3	158	266	94	172	270	25	128	157	39	308
EIF2B4	272	239	113	131	167	24	109	178	43	604
EIF2B5	687	820	218	543	386	36	378	228	68	1395
EIF2C1	793	772	367	915	759	62	358	549	140	2391
EIF2C2	669	1708	192	613	391	36	227	398	86	2257
EIF2C3	395	235	165	361	459	34	279	295	71	791
EIF2C4	2311	756	599	1103	1128	88	667	593	201	2086
EIF2D	402	375	229	350	224	31	235	11	44	619
EIF2S1	1123	1506	545	786	699	102	438	498	144	3064
EIF2S2	2870	3230	906	1416	2768	123	937	1046	280	5932
EIF2S3	7505	7364	2490	3449	4217	432	2319	2561	597	8018
EIF3A	9062	8347	3186	4708	3749	386	2347	2906	843	16152
EIF3B	1499	1846	701	1566	1209	96	556	1265	169	4662
EIF3C	5287	3705	1111	2721	1244	222	1442	907	443	7126
EIF3CL	362	99	107	1450	482	21	317	365	67	477
EIF3D	3811	3346	1509	2121	496	107	1298	603	273	4652
EIF3E	10148	20520	3344	4432	2725	679	3167	1038	523	10066
EIF3F	1522	1231	411	607	526	52	567	263	106	1149
EIF3G	1499	1835	541	617	598	92	530	243	107	1731
EIF3H	3377	7610	833	1306	1094	210	1215	604	356	5187
EIF3I	1039	1330	409	567	661	52	400	307	126	1668
EIF3J	882	1239	296	753	648	34	321	460	128	2262
EIF3K	1129	990	506	422	496	51	494	289	82	1098
EIF3L	5341	4992	1568	2113	1331	227	2065	805	421	7613
EIF3M	2622	2142	1021	1663	905	105	824	424	200	2027
EIF4A1	8069	9634	4355	5205	3581	200	2737	1923	784	20771
EIF4A2	9832	9167	5645	1984	5403	466	3807	2660	858	13515
EIF4A3	671	965	273	385	517	47	223	396	65	2097
EIF4B	27218	26086	8552	10729	6338	755	3969	2397	1133	23302
EIF4E	1569	2194	779	826	1004	88	721	614	257	6237
EIF4E1B	1	0	2	0	0	5	6	0	12	1
EIF4E2	541	562	116	163	261	35	192	242	84	1481
EIF4E3	919	842	247	451	401	31	286	475	81	713
EIF4EBP1	129	105	51	100	112	5	28	19	23	532
EIF4EBP2	6049	3894	1893	2012	1703	199	1854	3571	326	12622
EIF4EBP3	6	3	8	3	5	1	0	0	1	5
EIF4ENIF1	333	274	107	266	114	27	161	175	56	749
EIF4G1	5178	6006	2259	4599	2023	261	1803	2275	709	20268
EIF4G2	22313	17685	7636	13458	9663	1180	5965	6817	2109	57499
EIF4G3	2168	1628	1061	2080	1716	149	1327	1161	305	4739
EIF4H	3543	4750	1290	1789	1584	213	1180	1284	373	9401
EIF5	4971	4694	3008	2927	1304	337	1888	1996	327	10650
EIF5A	1060	1423	619	1207	534	33	399	369	113	3198
EIF5A2	97	38	5	11	33	6	32	62	14	89
EIF5AL1	37	21	32	29	28	66	80	59	73	191
EIF5B	1941	1138	594	1747	614	87	639	818	232	2833
EIF6	458	699	364	446	497	41	246	175	52	1485
ELAC1	125	133	40	58	57	13	68	45	29	258
ELAC2	685	567	233	380	294	35	334	470	99	1358
ELAVL1	859	817	299	542	467	35	267	382	101	2485
ELAVL2	8	6	7	0	1	7	15	110	24	5
ELAVL3	1	0	5	0	0	6	6	3	5	1
ELAVL4	1	2	6	0	0	6	14	5	12	14
ELF1	4263	3145	1443	2409	937	235	1595	1130	407	10144
ELF2	1371	1111	484	845	818	79	560	552	136	4602
ELF3	2628	4545	2341	4020	1914	168	3246	3731	454	6687
ELF4	1476	525	148	1066	545	41	349	336	157	4359
ELF5	54	665	127	67	13	34	158	203	76	681
ELFN1	8	18	3	1	0	1	35	3	3	14
ELFN2	2	0	9	0	1	5	9	4	12	5
ELK1	89	131	38	66	91	8	49	174	12	293
ELK3	123	181	88	97	65	9	65	40	21	385
ELK4	4311	3202	1676	3676	1790	270	2106	897	425	11576
ELL	146	147	59	90	79	6	56	82	20	502
ELL2	719	1091	408	553	341	84	409	103	168	1074
ELL3	7	9	11	10	6	4	8	19	7	12
ELMO1	26	55	29	23	73	39	82	141	51	73
ELMO2	242	187	96	136	199	32	150	364	57	563
ELMO3	183	165	70	120	68	9	92	10	17	192
ELMOD1	0	0	4	2	0	5	17	12	20	21
ELMOD2	1241	1193	500	535	700	75	457	361	154	4494
ELMOD3	160	58	62	144	152	20	124	67	31	279
ELMSAN1	500	374	195	410	148	36	234	522	69	1111
ELN	17	27	9	2	2	11	9	15	16	34
ELOF1	132	118	34	46	82	3	36	51	16	260
ELOVL1	621	1020	195	482	348	43	278	821	78	2147
ELOVL2	4	11	6	3	17	19	18	30	20	34
ELOVL3	0	0	2	0	2	6	6	1	6	12
ELOVL4	8	5	9	6	0	13	12	25	14	47
ELOVL5	313	618	240	70	483	40	187	368	66	1875
ELOVL6	1212	941	336	841	390	23	279	364	107	3149
ELOVL7	134	262	98	30	102	19	72	170	28	90
ELP2	1686	1676	546	919	844	71	836	1798	163	2496
ELP3	1017	1149	296	494	356	80	395	287	121	2393
ELP4	189	206	76	129	124	6	101	65	19	154
ELP5	161	134	73	98	87	6	72	65	27	541
ELP6	173	142	54	91	124	15	76	70	20	341
ELSPBP1	0	0	1	1	0	3	5	2	3	10
ELTD1	102	304	27	71	142	15	63	124	27	294
EMB	1123	198	349	662	973	94	607	270	175	1667
EMC1	953	812	344	693	596	72	371	531	145	2449
EMC10	411	452	124	221	134	21	162	238	50	846
EMC2	923	1194	315	310	277	36	291	235	86	1606
EMC3	535	846	170	325	285	44	253	370	61	1232
EMC4	1048	1485	384	451	884	71	399	365	143	3666
EMC6	94	107	37	65	50	2	42	51	17	330
EMC7	221	273	74	132	124	15	90	55	48	433
EMC8	133	137	42	90	59	11	66	66	25	424
EMC9	34	34	22	15	20	4	22	23	6	84
EMCN	81	409	13	40	97	28	46	56	31	315
EMD	89	71	51	65	60	1	48	51	15	186
EME1	13	23	12	27	34	11	9	45	23	107
EME2	12	2	12	23	8	2	19	5	2	22
EMG1	311	385	94	149	167	21	113	74	40	663
EMID1	10	9	1	1	3	2	8	3	3	19
EMID2	4	0	1	0	2	1	7	2	3	2
EMILIN1	32	75	3	16	26	5	42	22	10	175
EMILIN2	38	39	14	82	25	11	58	58	19	79
EMILIN3	2	1	4	6	1	2	8	1	4	13
EML1	118	100	40	273	20	18	49	210	92	429
EML2	524	474	212	154	151	22	310	17	57	271
EML3	207	133	65	275	96	22	106	71	31	486
EML4	3010	4585	1070	1012	2264	123	1578	2221	330	5169
EML5	62	7	27	16	182	36	62	427	54	98
EML6	176	218	76	13	52	56	163	147	77	534
EMP1	367	435	200	87	180	20	44	104	38	1539
EMP2	1113	4751	435	1031	5111	175	484	754	209	5627
EMP3	4	30	3	9	6	3	4	4	5	19
EMR1	1	16	7	1	2	12	14	5	13	19
EMR2	29	177	47	299	35	40	66	29	73	107
EMR3	3	9	3	2	0	10	9	7	11	15
EMX1	0	0	0	0	0	1	2	1	4	4
EMX2	387	251	15	14	35	9	156	135	11	37
EN1	10	4	7	0	0	1	5	1	1	2
EN2	0	4	1	0	0	2	5	2	4	3
ENAH	1867	3219	928	2270	1779	142	1200	2317	262	8971
ENAM	1	0	6	1	1	29	25	21	43	62
ENC1	645	1596	243	483	272	39	381	468	224	1807
ENDOD1	644	2728	410	299	280	46	178	363	96	2132
ENDOG	60	80	3	28	27	0	14	13	5	34
ENDOU	3	1	10	2	0	7	3	6	15	16
ENDOV	26	11	12	10	8	11	10	14	13	44
ENG	98	109	12	84	47	9	77	45	13	118
ENGASE	184	208	52	260	250	16	150	142	56	870
ENHO	0	0	0	0	0	0	2	2	0	0
ENKD1	51	58	29	14	22	3	28	14	13	152
ENKUR	1	3	9	0	4	19	14	52	26	31
ENO1	5582	11083	5972	4144	4053	512	1662	3661	1054	8145
ENO2	199	186	450	126	277	31	37	301	40	333
ENO3	2	6	7	4	4	3	12	18	12	21
ENO4	5	2	6	0	1	21	17	11	13	23
ENOPH1	558	658	220	292	380	37	226	273	73	2497
ENOSF1	755	209	217	773	351	48	433	393	78	461
ENOX1	6	49	14	3	4	10	23	24	30	22
ENOX2	318	353	115	132	237	27	119	141	30	734
ENPEP	6	125	17	72	104	38	48	106	46	1121
ENPP1	52	55	23	1	2	28	69	50	36	167
ENPP2	797	176	63	42	51	36	272	190	53	254
ENPP3	1	2	13	0	3	27	22	14	33	46
ENPP4	664	836	296	361	247	8	329	318	59	1007
ENPP5	297	263	188	103	130	5	201	143	43	118
ENPP6	5	0	3	2	4	16	12	10	10	22
ENPP7	0	0	3	0	1	1	1	0	3	1
ENSA	1639	3168	971	949	2521	105	1026	1398	298	5046
ENTHD1	0	2	6	0	1	9	8	3	11	16
ENTHD2	34	8	10	36	28	5	18	37	7	53
ENTPD1	131	374	64	109	218	69	169	165	117	307
ENTPD2	3	1	2	3	2	0	2	2	1	3
ENTPD3	1322	818	354	608	138	148	531	69	153	7021
ENTPD4	1932	1114	555	1207	515	106	789	234	177	5271
ENTPD5	303	1041	62	253	72	28	156	426	47	379
ENTPD6	275	291	85	195	227	14	133	88	28	293
ENTPD7	670	964	369	492	485	181	560	190	184	3079
ENTPD8	0	6	0	0	0	0	3	0	1	2
ENY2	562	1286	173	244	307	59	175	329	89	1502
EOGT	1683	1029	234	273	464	83	698	164	177	2510
EOMES	3	3	2	1	1	8	11	21	10	18
EP300	2577	1260	1016	2750	724	125	1099	1578	342	4811
EP400	1126	353	432	1425	531	49	492	689	168	2225
EPAS1	2815	1379	943	2517	1107	202	524	357	347	10419
EPB41	2370	1926	259	2006	2176	80	825	2274	212	3739
EPB41L1	526	827	151	508	948	53	528	987	99	2265
EPB41L2	448	832	110	254	331	50	305	182	155	280
EPB41L3	219	81	27	24	22	47	99	33	78	6160
EPB41L4A	773	621	150	132	248	55	416	408	95	436
EPB41L4B	491	476	35	253	301	25	148	464	63	340
EPB41L5	1029	459	209	242	242	79	315	361	114	1007
EPB42	0	2	4	1	0	11	12	2	13	10
EPB49	135	63	8	5	23	14	45	46	16	84
EPC1	677	712	320	407	349	32	357	288	94	1598
EPC2	1486	1133	567	605	407	68	578	524	144	2590
EPCAM	1165	3530	332	444	1269	42	468	1769	117	4615
EPDR1	169	576	2	7	9	5	34	70	14	34
EPG5	1207	615	416	1120	547	99	642	674	198	2627
EPGN	6	3	5	10	3	16	17	19	14	40
EPHA1	94	390	183	355	99	22	72	145	32	1388
EPHA10	15	23	9	12	16	11	17	13	18	18
EPHA2	403	570	255	230	101	35	334	89	59	2235
EPHA3	54	123	31	31	52	28	63	43	42	199
EPHA4	421	511	285	26	910	45	128	194	89	2801
EPHA5	5	1	14	0	3	38	48	42	49	122
EPHA6	6	4	28	1	0	17	30	23	37	76
EPHA7	139	239	15	26	90	48	56	31	44	326
EPHA8	1	0	8	0	1	10	6	3	5	0
EPHB1	3	7	14	4	0	17	20	11	31	35
EPHB2	16	215	9	19	114	16	37	106	21	335
EPHB3	14	89	8	39	16	3	8	89	9	276
EPHB4	143	115	256	175	174	15	67	171	20	497
EPHB6	515	246	125	336	43	28	167	111	43	2377
EPHX1	37	230	39	89	44	13	39	58	10	247
EPHX2	110	152	139	67	41	28	116	8	27	248
EPHX3	16	53	49	51	2	5	16	27	11	42
EPHX4	21	5	13	3	38	5	15	30	4	96
EPM2A	120	86	37	35	36	13	57	98	23	138
EPM2AIP1	808	860	371	594	660	41	401	544	125	1690
EPN1	206	154	88	168	116	16	86	159	22	579
EPN2	436	378	165	648	281	19	192	102	64	1489
EPN3	261	357	89	421	139	31	161	265	45	1489
EPO	0	0	0	0	0	3	2	1	6	2
EPOR	34	1	9	8	20	5	32	7	1	44
EPPIN	0	1	2	0	0	1	0	2	1	0
EPPIN-WFDC6	0	0	2	1	1	9	7	8	5	14
EPPK1	876	2449	936	1841	477	91	1737	462	175	3877
EPRS	3028	5869	1888	1944	1916	125	1039	1010	383	5674
EPS15	2275	2396	545	1892	1502	122	1205	1008	247	4219
EPS15L1	159	115	60	257	161	20	91	150	40	416
EPS8	4000	2239	1004	1321	1607	161	1337	651	281	13280
EPS8L1	143	473	105	259	71	11	122	48	39	196
EPS8L2	624	545	425	685	300	30	439	283	88	908
EPS8L3	7	123	2	112	142	8	12	18	12	66
EPSTI1	130	102	34	130	17	17	44	65	66	199
EPT1	1286	2191	728	1442	1666	135	632	1120	224	6573
EPX	0	0	0	0	1	7	7	1	3	3
EPYC	1	0	2	0	0	2	8	12	12	24
EQTN	4	0	3	2	0	5	3	5	11	16
ERAL1	141	135	62	114	104	23	49	85	24	455
ERAP1	2322	1044	776	1475	739	169	1096	413	259	1592
ERAP2	1329	666	103	612	358	267	338	75	298	201
ERAS	0	0	0	0	0	1	0	3	0	3
ERBB2	1950	1918	427	1796	894	112	710	2487	248	12971
ERBB2IP	7022	5956	3278	2982	2980	438	2641	3432	638	9469
ERBB3	3797	4953	824	4117	1695	209	915	3301	377	18708
ERBB4	139	22	193	21	2	72	109	81	84	189
ERC1	1340	675	433	982	577	76	463	459	143	1592
ERC2	5	1	47	0	139	24	57	171	45	85
ERCC1	177	187	102	203	224	18	105	35	32	364
ERCC2	61	67	35	76	74	7	44	32	21	207
ERCC3	487	363	186	355	227	28	187	210	81	853
ERCC4	379	316	108	176	597	32	189	182	60	595
ERCC5	1738	1406	384	774	324	9	253	197	22	1925
ERCC6	951	685	369	532	518	67	437	158	145	2836
ERCC6L	101	95	61	116	218	17	19	159	21	357
ERCC6L2	520	259	88	322	224	18	259	200	45	687
ERCC8	168	123	74	137	96	14	122	50	31	237
EREG	4	3	2	6	6	15	17	16	9	585
ERF	85	133	39	63	48	14	34	25	17	215
ERG	46	100	14	18	32	31	34	27	37	74
ERGIC1	1284	2089	764	518	611	115	596	242	158	2099
ERGIC2	1293	1165	468	535	607	90	600	334	142	3511
ERGIC3	1271	1180	475	939	1190	90	510	696	115	2929
ERH	827	1244	312	401	486	54	369	442	95	2684
ERI1	711	533	125	338	289	45	218	137	95	1277
ERI2	591	589	274	321	816	35	244	273	78	1431
ERI3	127	143	69	118	131	10	66	93	11	307
ERICH1	394	294	117	272	167	20	149	99	49	526
ERICH2	8	14	0	0	0	4	5	6	4	7
ERLEC1	1085	1296	348	584	525	78	443	489	91	3521
ERLIN1	885	855	363	903	582	79	300	209	93	4583
ERLIN2	1731	1489	499	498	386	94	468	220	163	4338
ERMAP	359	278	100	89	74	41	167	186	51	426
ERMN	2	0	15	7	0	27	32	20	27	38
ERMP1	2965	5700	1764	1048	766	174	901	1324	344	11134
ERN1	179	103	70	177	126	29	111	99	36	408
ERN2	22	209	44	23	6	6	200	8	50	100
ERO1L	3849	4697	1823	3821	1096	222	859	2094	652	13724
ERO1LB	119	93	69	147	65	19	121	54	43	239
ERP27	301	3458	13	54	173	46	44	148	165	1250
ERP29	2608	2361	522	818	684	261	760	600	214	5217
ERP44	1408	912	277	714	490	70	550	410	106	1403
ERRFI1	1035	1450	301	1007	2511	51	498	536	330	3537
ERV3-1	1328	490	140	381	383	68	784	785	80	2812
ERVFRD-1	9	4	11	11	9	28	35	18	51	50
ERVMER34-1	20	68	48	108	60	11	20	67	17	379
ERVV-1	15	5	9	7	1	7	11	3	12	5
ERVV-2	5	8	9	10	0	12	13	9	16	18
ERVW-1	56	2	84	56	53	257	254	195	296	519
ESAM	12	42	39	23	16	6	16	36	4	49
ESCO1	1698	1300	973	985	794	102	828	749	202	4569
ESCO2	61	166	55	169	185	44	26	109	38	561
ESD	536	337	204	167	186	28	233	120	54	609
ESF1	1132	1086	488	796	1215	66	345	475	154	1616
ESM1	149	344	33	76	276	16	28	81	6	262
ESPL1	40	60	39	201	117	29	23	183	26	307
ESPN	5	2	8	10	3	2	29	12	5	2
ESPNL	0	0	1	1	0	2	4	1	5	1
ESR1	19	165	13	3	10	28	32	23	49	82
ESR2	29	39	15	219	80	16	26	53	15	22
ESRP1	2676	5641	1660	2436	2835	187	1072	1584	308	6600
ESRP2	1161	941	358	1363	509	34	583	523	145	2400
ESRRA	267	339	210	291	180	14	173	98	30	623
ESRRB	1	0	3	0	1	9	9	6	15	11
ESRRG	106	53	114	24	8	28	128	34	74	102
ESX1	1	0	1	0	0	2	0	1	2	1
ESYT1	1232	1865	672	731	583	108	579	928	191	5679
ESYT2	2014	2777	870	981	888	134	666	1298	188	4591
ESYT3	22	1	18	1	4	18	26	40	26	19
ETAA1	919	654	447	298	458	60	340	225	71	2002
ETF1	1881	1911	770	1178	927	103	930	387	232	2499
ETFA	1499	1763	708	1026	826	107	707	648	249	5407
ETFB	336	568	156	141	115	16	100	23	33	469
ETFDH	539	980	339	335	261	31	290	174	94	1117
ETHE1	91	181	57	57	110	16	37	10	14	283
ETNK1	2375	2123	1751	1452	1125	134	1193	888	293	6391
ETNK2	147	17	117	32	35	13	143	21	17	610
ETS1	1848	1770	269	1486	433	80	455	294	184	3075
ETS2	1455	1346	312	1303	2322	165	1065	368	197	2763
ETV1	48	110	44	14	27	26	83	56	37	187
ETV2	1	5	1	0	0	2	0	1	0	2
ETV3	375	383	443	311	183	31	343	840	66	1234
ETV3L	0	0	1	0	0	2	8	8	3	1
ETV4	33	197	72	111	120	12	48	237	15	553
ETV5	61	64	50	14	71	30	45	56	34	356
ETV6	1343	895	472	1615	636	68	703	291	207	2763
ETV7	44	21	13	91	50	11	45	6	12	53
EVC	324	97	142	91	13	22	189	95	49	598
EVC2	377	28	146	155	3	16	232	59	45	668
EVI2A	29	104	17	25	30	11	54	21	32	67
EVI2B	24	57	7	22	24	15	23	16	22	50
EVI5	1346	1051	468	859	660	90	764	866	171	3175
EVI5L	110	69	27	56	56	13	45	46	16	187
EVL	144	88	21	169	72	5	77	151	24	132
EVPL	4168	2896	525	2574	1457	100	774	1227	341	7920
EVPLL	5	12	4	14	0	8	9	14	23	68
EVX1	6	17	0	9	1	3	2	3	2	4
EVX2	0	0	0	0	0	0	2	4	2	1
EWSR1	2307	2303	876	1814	1591	144	1055	1389	313	5890
EXD1	2	0	11	1	2	12	11	17	19	12
EXD2	496	388	192	274	189	47	224	282	69	1053
EXD3	19	11	7	3	2	4	35	2	3	10
EXO1	73	160	127	198	231	28	35	131	50	427
EXOC1	2647	1902	810	1241	1130	141	1069	849	221	5641
EXOC2	1027	593	410	536	445	54	506	580	157	2500
EXOC3	581	502	161	513	221	38	202	352	62	1105
EXOC3L1	6	5	3	3	6	1	8	1	2	3
EXOC3L2	4	17	2	9	8	6	5	3	6	16
EXOC3L4	0	1	2	4	1	1	4	1	1	2
EXOC4	2246	1629	844	1376	1135	131	876	582	228	4563
EXOC5	1646	1852	839	1164	944	138	790	1246	239	4260
EXOC6	518	663	195	364	441	15	266	332	74	1311
EXOC6B	1647	1049	553	1234	788	65	979	661	200	7305
EXOC7	2390	1781	718	1262	1618	114	1079	818	264	5557
EXOC8	646	755	249	553	194	33	212	181	69	1629
EXOG	159	62	44	91	119	19	134	114	53	254
EXOSC1	185	186	78	83	142	7	109	52	30	386
EXOSC10	1124	1055	392	884	1034	82	476	1234	159	1927
EXOSC2	309	372	77	286	404	21	143	138	24	454
EXOSC3	351	351	132	223	202	15	143	193	50	528
EXOSC4	42	188	31	27	24	4	28	12	5	100
EXOSC5	47	107	25	55	53	4	19	12	1	131
EXOSC6	303	344	65	234	165	15	95	108	25	658
EXOSC7	238	448	136	208	185	19	123	72	36	883
EXOSC8	203	228	85	245	190	18	118	208	45	397
EXOSC9	364	408	187	330	418	26	183	200	46	1142
EXPH5	377	2348	774	715	597	67	191	1701	116	450
EXT1	519	962	482	120	183	56	285	170	61	559
EXT2	754	612	336	464	454	65	337	348	113	1652
EXTL1	0	1	1	0	1	4	5	2	2	7
EXTL2	418	331	141	176	193	24	192	178	71	683
EXTL3	424	282	222	186	153	47	203	76	63	866
EYA1	5	2	10	0	2	41	22	43	45	49
EYA2	15	59	63	104	0	28	26	19	23	30
EYA3	869	692	258	745	654	69	408	545	130	1692
EYA4	15	19	12	3	4	39	36	27	46	104
EYS	13	4	24	8	6	70	89	48	106	202
EZH1	452	374	124	257	390	43	252	577	75	888
EZH2	183	144	119	271	516	37	96	789	55	459
EZR	8559	12408	2083	4665	1591	563	2932	3941	666	35567
F10	2	0	0	1	1	3	2	3	1	8
F11	1	0	10	1	3	13	18	11	31	68
F11R	6333	4839	3218	1639	1300	231	2105	3374	350	14266
F12	20	6	26	2	3	2	9	3	6	23
F13A1	211	382	57	227	175	26	298	150	77	983
F13B	0	0	3	0	0	10	9	19	14	19
F2	0	2	3	0	0	3	6	6	1	7
F2R	46	162	21	68	86	10	16	84	17	132
F2RL1	754	566	489	171	10	30	293	122	39	140
F2RL2	1	6	5	24	6	15	4	15	21	14
F2RL3	4	8	1	4	10	3	4	12	3	8
F3	51	66	73	102	22	8	155	106	17	159
F5	11	35	33	8	9	68	67	134	102	521
F7	0	0	3	1	0	4	1	3	6	4
F8	170	113	77	26	14	37	72	49	45	374
F8A1	64	50	35	31	14	3	44	69	21	293
F8A2	1	1	0	1	0	1	0	0	0	1
F8A3	0	0	0	0	0	0	1	0	0	1
F9	1	0	1	0	0	6	7	5	5	16
FA2H	13	32	10	169	21	4	11	25	3	22
FAAH	238	179	102	122	132	17	132	126	39	121
FAAH2	184	103	77	194	105	28	91	120	13	175
FABP1	0	0	2	0	0	4	3	3	2	2
FABP12	0	0	1	0	0	2	1	0	4	1
FABP2	0	0	3	1	2	14	11	6	16	26
FABP3	11	3	6	10	18	15	9	192	53	87
FABP4	568	1888	9456	172	3	115	179	18	25	748
FABP5	7656	12253	5974	3380	1243	627	5298	135	799	14404
FABP6	127	338	108	152	197	12	216	15	57	199
FABP7	0	0	2	0	0	4	4	2	4	5
FABP9	0	0	0	0	0	5	0	2	4	3
FADD	215	320	66	87	127	32	93	90	19	660
FADS1	25	275	136	38	508	20	58	233	81	528
FADS2	10	91	25	11	22	5	8	66	25	193
FADS3	36	68	26	10	78	10	54	58	12	107
FADS6	1	4	2	3	3	2	3	1	3	6
FAF1	770	683	348	567	684	48	456	380	107	1749
FAF2	1220	1254	422	371	476	108	538	567	174	2305
FAH	120	206	102	96	58	14	97	36	32	117
FAHD1	388	487	126	174	69	22	133	61	73	728
FAHD2A	120	91	44	117	67	13	80	125	14	176
FAHD2B	162	97	61	13	29	10	125	42	10	106
FAIM	960	705	80	68	110	19	190	226	54	409
FAIM2	1	0	8	0	0	13	9	9	17	11
FAIM3	100	138	11	32	3	11	44	12	27	30
FAM100A	16	11	9	27	8	0	14	9	5	42
FAM100B	261	333	77	223	323	6	104	206	34	1249
FAM101B	27	105	9	41	32	10	30	40	13	99
FAM102A	104	281	28	140	95	8	90	331	17	264
FAM102B	1373	688	465	429	326	110	330	280	131	5222
FAM103A1	313	456	69	136	191	10	65	73	44	1186
FAM104A	440	444	193	320	378	29	239	225	53	1379
FAM104B	186	372	60	89	123	38	109	270	59	462
FAM105A	137	564	333	41	43	43	111	564	61	133
FAM105B	791	621	346	579	632	90	384	718	120	1507
FAM107A	9	19	7	1	3	4	13	1	15	14
FAM107B	1271	1385	301	224	900	85	246	562	119	7658
FAM108A1	100	106	41	84	108	6	50	59	21	369
FAM108B1	923	681	257	668	392	21	303	228	44	1599
FAM108C1	418	973	252	535	371	32	182	185	106	1832
FAM109A	63	44	12	25	27	9	16	41	11	134
FAM109B	84	47	43	62	6	4	27	5	14	22
FAM110A	45	52	34	33	38	2	37	27	5	90
FAM110B	14	13	16	0	1	8	15	20	10	13
FAM110C	1512	915	1139	515	312	98	717	271	162	7642
FAM110D	4	10	0	2	4	2	3	5	3	9
FAM111A	1374	973	529	1083	759	68	795	828	224	2963
FAM111B	190	544	245	262	497	73	73	647	74	1547
FAM114A1	1349	955	1148	501	350	101	204	174	106	7659
FAM114A2	323	376	94	149	103	28	128	89	36	331
FAM115A	2462	2281	1226	1197	1178	165	850	1426	293	7785
FAM115C	107	176	136	352	197	53	69	182	52	570
FAM117A	47	86	19	49	32	4	27	30	12	135
FAM117B	807	717	156	208	286	37	309	280	77	963
FAM118A	223	425	77	959	331	33	436	257	62	1665
FAM118B	175	167	51	79	114	9	160	111	43	381
FAM120A	3045	2865	728	1930	1198	78	1232	1367	232	4116
FAM120AOS	626	745	88	176	181	25	234	283	39	672
FAM120B	735	385	270	520	259	22	322	490	89	1671
FAM120C	162	145	190	54	60	38	72	506	29	165
FAM122A	1	0	0	0	0	0	0	1	0	0
FAM122B	646	321	285	1039	983	19	254	400	61	1430
FAM122C	41	27	20	51	63	11	45	32	11	73
FAM123A	0	0	1	2	0	5	7	2	10	2
FAM123B	138	99	100	99	157	25	67	260	26	325
FAM123C	2	0	4	0	0	13	4	3	16	6
FAM124A	2	2	8	1	3	11	12	8	22	12
FAM124B	7	8	0	1	2	2	10	7	10	18
FAM125A	73	72	39	44	38	5	15	3	11	127
FAM125B	675	123	69	137	147	8	197	113	43	105
FAM126A	132	283	106	78	457	58	110	137	49	163
FAM126B	753	588	365	344	433	56	441	390	101	1328
FAM127A	171	197	49	56	104	6	67	83	21	254
FAM127B	50	49	17	51	53	1	22	38	3	113
FAM127C	33	51	17	11	17	5	17	22	8	131
FAM129A	66	604	540	205	63	47	76	76	61	2302
FAM129B	876	2311	251	755	653	29	447	916	57	2133
FAM129C	3	0	4	0	1	6	6	6	7	6
FAM131A	25	39	22	19	25	5	20	7	4	70
