Feature.ID	B13_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B13_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B11_FFPE_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B11_FF_T2gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B12_FFPE_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B12_FF_T1gII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_TagII_Total_Exon_Reads_fwd_RNA.Seq	B14_FFPE_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B14_FF_T1gIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FF_T2grIII_Total_Exon_Reads_fwd_RNA.Seq	B15_FFPE_T2grIII_Total_Exon_Reads_fwd_RNA.Seq
SLC34A3	0	0	0	0	0	3	0	6	0	0	0	7	0	6	7	0
SLC35A1	4	111	1	90	10	1198	128	1440	5	798	18	1365	13	1718	846	20
SLC35A2	2	90	3	17	6	421	48	529	4	514	8	493	6	791	1120	22
SLC35A3	3	111	2	56	4	1577	73	1110	10	721	16	1170	15	2176	608	10
SLC35A4	6	146	0	57	7	619	56	851	5	586	16	1184	14	1991	1931	20
SLC35A5	5	98	3	49	6	1369	46	1432	1	789	11	1156	10	1760	1460	15
SLC35B1	2	65	2	42	5	692	41	1062	5	1120	7	838	8	1638	1651	15
SLC35B2	0	53	0	16	14	617	39	721	3	677	7	486	11	1128	516	3
SLC35B3	3	160	3	70	6	981	135	1018	6	551	16	1627	15	1718	695	23
SLC35B4	7	148	5	41	10	762	75	769	4	736	23	1385	21	2181	1296	25
SLC35C1	4	78	2	42	6	787	44	612	5	627	10	484	2	442	1013	13
SLC35C2	4	120	2	114	7	1004	78	1097	12	943	16	1134	12	1183	1323	22
SLC35D1	6	359	2	190	21	2366	229	2645	13	882	44	3740	31	4264	762	10
SLC35D2	2	80	0	29	6	382	71	929	6	601	10	621	7	938	805	8
SLC35D3	0	0	0	0	0	0	0	8	0	2	0	0	0	12	3	1
SLC35E1	14	450	6	114	21	1844	197	2355	20	2277	56	2844	49	4271	4910	78
SLC35E2	3	202	7	218	20	807	313	1862	26	1000	36	1177	40	1537	1818	63
SLC35E2B	8	258	5	270	17	1329	269	2086	27	1450	76	3581	68	5273	2960	79
SLC35E3	5	45	0	39	6	382	23	522	3	396	16	538	9	890	557	6
SLC35E4	1	13	0	4	0	72	3	48	1	39	2	94	0	129	364	4
SLC35F1	1	5	0	4	0	53	7	29	1	21	1	189	8	346	89	0
SLC35F2	5	90	3	35	11	784	76	978	7	632	18	950	11	995	1122	24
SLC35F3	0	0	0	0	0	12	2	27	0	4	0	14	0	10	9	0
SLC35F4	0	0	0	7	0	0	0	5	0	0	0	2	0	10	16	0
SLC35F5	4	469	2	154	16	3564	170	2913	6	1679	23	3224	25	5586	2586	41
SLC35G1	0	38	0	5	2	178	9	147	3	142	0	112	1	312	186	3
SLC35G2	0	36	0	18	0	152	7	101	1	123	2	119	1	159	168	0
SLC35G3	0	0	0	1	0	4	0	4	0	0	0	2	0	9	4	0
SLC35G4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SLC35G5	0	0	0	2	0	1	1	1	1	1	0	3	0	4	4	0
SLC35G6	0	0	0	0	0	1	0	1	0	1	0	2	0	7	0	0
SLC36A1	2	117	3	69	5	454	137	788	12	622	17	1267	21	1420	2730	52
SLC36A2	0	0	0	0	0	0	0	0	1	0	0	1	0	11	31	0
SLC36A3	0	0	0	2	0	1	0	0	0	0	0	0	0	10	9	0
SLC36A4	0	24	0	16	1	236	15	122	0	49	1	492	1	384	526	7
SLC37A1	6	245	3	139	4	914	213	2396	20	2209	50	2889	17	1757	2661	32
SLC37A2	6	132	3	182	7	456	193	2498	18	1336	26	1043	18	1824	1316	21
SLC37A3	6	306	1	92	10	1586	217	2050	15	1708	40	3049	38	5267	2949	52
